Frame # 0
0 -154.310776 26
1 -207.428055 26
2 -209.710419 26
3 -210.269867 26
4 -209.679184 26
5 -208.749863 26
6 -207.737610 26
7 -205.661148 26
8 -204.558731 26
9 -202.884735 26
10 -201.061707 26
11 -200.225693 26
12 -199.452820 26
13 -198.379410 26
14 -197.771423 26
15 -196.036911 26
Frame # 1
0 -154.216675 26
1 -209.187500 26
2 -212.012970 26
3 -211.676361 26
4 -210.654846 26
5 -209.368515 26
6 -207.913269 26
7 -205.308990 26
8 -204.364563 26
9 -202.492325 26
10 -200.596085 26
11 -199.564896 26
12 -198.769775 26
13 -197.546646 26
14 -196.688553 26
15 -195.665787 26
Frame # 2
0 -154.122238 26
1 -208.446671 26
2 -208.647705 26
3 -208.423859 26
4 -207.284363 26
5 -206.098495 26
6 -204.663269 26
7 -202.491699 26
8 -201.452011 26
9 -200.333954 26
10 -198.268341 26
11 -197.299255 26
12 -196.720612 26
13 -195.604019 26
14 -195.015015 26
15 -194.274155 26
Frame # 3
0 -154.969055 26
1 -209.187500 26
2 -210.684570 26
3 -210.621506 26
4 -209.590485 26
5 -208.573090 26
6 -207.474091 26
7 -205.220932 26
8 -204.169907 26
9 -202.786636 26
10 -200.689667 26
11 -199.753708 26
12 -198.964935 26
13 -197.916763 26
14 -197.869888 26
15 -196.779099 26
Frame # 4
0 -158.262268 26
1 -211.965546 26
2 -216.086746 26
3 -215.983734 26
4 -215.000977 26
5 -214.052582 26
6 -212.656540 26
7 -210.063141 26
8 -209.121246 26
9 -206.809006 26
10 -204.601028 26
11 -203.812958 26
12 -202.965698 26
13 -202.080978 26
14 -201.709137 26
15 -200.768066 26
Frame # 5
0 -157.133530 26
1 -213.817154 26
2 -214.581207 26
3 -214.138153 26
4 -212.783569 26
5 -211.754715 26
6 -210.284927 26
7 -207.774094 26
8 -206.694122 26
9 -205.141205 26
10 -203.110962 26
11 -202.208145 26
12 -201.501999 26
13 -200.322937 26
14 -199.740280 26
15 -198.727005 26
Frame # 6
0 -154.874969 26
1 -211.687729 26
2 -209.887543 26
3 -209.215012 26
4 -207.993942 26
5 -206.982300 26
6 -205.541656 26
7 -203.372101 26
8 -202.325790 26
9 -201.118820 26
10 -199.292770 26
11 -198.148865 26
12 -197.306076 26
13 -196.251709 26
14 -195.507248 26
15 -194.737610 26
Frame # 7
0 -150.734940 26
1 -207.335022 26
2 -205.813766 26
3 -205.259674 26
4 -204.091278 26
5 -202.916870 26
6 -201.325409 26
7 -198.970581 26
8 -198.150635 26
9 -196.507797 26
10 -194.450119 26
11 -193.711990 26
12 -192.817413 26
13 -191.717850 26
14 -191.274643 26
15 -190.469894 26
Frame # 8
0 -153.746552 26
1 -205.019989 26
2 -207.673538 26
3 -207.808945 26
4 -206.663483 26
5 -205.656128 26
6 -204.136246 26
7 -201.875916 26
8 -200.966110 26
9 -199.843002 26
10 -197.988968 26
11 -197.205322 26
12 -196.720139 26
13 -195.973694 26
14 -195.606140 26
15 -194.738022 26
Frame # 9
0 -155.628387 26
1 -209.094879 26
2 -211.126923 26
3 -210.709824 26
4 -209.501770 26
5 -208.307968 26
6 -207.034897 26
7 -204.869263 26
8 -203.684479 26
9 -202.688095 26
10 -200.782806 26
11 -199.848557 26
12 -198.964935 26
13 -197.731705 26
14 -196.984344 26
15 -195.665787 26
Frame # 10
0 -154.122910 26
1 -207.242844 26
2 -208.204437 26
3 -208.248489 26
4 -207.284836 26
5 -206.452026 26
6 -205.190308 26
7 -203.108459 26
8 -202.131607 26
9 -200.922180 26
10 -199.013367 26
11 -198.243744 26
12 -197.013336 26
13 -195.881165 26
14 -194.917038 26
15 -194.181381 26
Frame # 11
0 -154.875656 26
1 -208.631882 26
2 -211.569733 26
3 -210.885635 26
4 -209.413559 26
5 -208.396362 26
6 -207.034378 26
7 -204.693207 26
8 -203.587891 26
9 -202.197571 26
10 -200.037308 26
11 -199.187744 26
12 -198.281876 26
13 -197.639191 26
14 -196.983871 26
15 -195.944138 26
Frame # 12
0 -154.311096 26
1 -209.650497 26
2 -209.178619 26
3 -208.951279 26
4 -207.728317 26
5 -206.805527 26
6 -205.453812 26
7 -203.196503 26
8 -202.228699 26
9 -200.627853 26
10 -198.454163 26
11 -197.677307 26
12 -196.720612 26
13 -195.511032 26
14 -195.212357 26
15 -194.274155 26
Frame # 13
0 -154.499283 26
1 -207.613266 26
2 -208.027344 26
3 -207.545227 26
4 -206.752167 26
5 -205.568237 26
6 -204.399750 26
7 -202.051987 26
8 -201.160751 26
9 -199.843002 26
10 -197.895844 26
11 -196.922119 26
12 -195.842392 26
13 -194.770828 26
14 -194.227936 26
15 -193.624710 26
Frame # 14
0 -153.840317 26
1 -206.779846 26
2 -208.204895 26
3 -208.160126 26
4 -207.018265 26
5 -206.098495 26
6 -204.838943 26
7 -202.668274 26
8 -201.549103 26
9 -200.726395 26
10 -198.733536 26
11 -197.676865 26
12 -196.818192 26
13 -195.603577 26
14 -194.522827 26
15 -193.346390 26
Frame # 15
0 -152.523026 26
1 -205.946014 26
2 -205.370956 26
3 -205.347595 26
4 -204.268661 26
5 -203.358780 26
6 -201.764603 26
7 -199.850983 26
8 -198.927322 26
9 -197.979416 26
10 -196.405792 26
11 -195.506073 26
12 -194.769012 26
13 -193.753021 26
14 -192.948181 26
15 -191.490845 26
Frame # 16
0 -152.428925 26
1 -204.094406 26
2 -206.079010 26
3 -206.314133 26
4 -205.421738 26
5 -204.507706 26
6 -203.345688 26
7 -201.171585 26
8 -200.092819 26
9 -198.960480 26
10 -196.684723 26
11 -195.506073 26
12 -194.476257 26
13 -193.382904 26
14 -193.046158 26
15 -192.233063 26
Frame # 17
0 -156.192612 26
1 -206.965057 26
2 -211.393066 26
3 -211.061462 26
4 -209.679184 26
5 -208.484711 26
6 -207.034897 26
7 -204.869263 26
8 -203.781570 26
9 -202.492325 26
10 -200.875916 26
11 -199.942490 26
12 -199.160095 26
13 -198.102264 26
14 -197.476563 26
15 -196.500366 26
Frame # 18
0 -153.746216 26
1 -208.353638 26
2 -208.470581 26
3 -208.336380 26
4 -207.461746 26
5 -206.717148 26
6 -205.629501 26
7 -203.460632 26
8 -202.422379 26
9 -201.511261 26
10 -199.292770 26
11 -198.243271 26
12 -197.208496 26
13 -195.974136 26
14 -195.015488 26
15 -193.995392 26
Frame # 19
0 -156.851578 26
1 -210.205688 26
2 -212.455780 26
3 -211.676788 26
4 -210.122650 26
5 -208.926620 26
6 -207.298401 26
7 -204.957321 26
8 -203.975754 26
9 -202.394196 26
10 -200.317154 26
11 -199.470947 26
12 -198.769287 26
13 -197.824249 26
14 -197.673447 26
15 -196.686325 26
Frame # 20
0 -153.276077 26
1 -210.020905 26
2 -209.001495 26
3 -208.775909 26
4 -207.550903 26
5 -206.628769 26
6 -205.365967 26
7 -203.196503 26
8 -202.034515 26
9 -200.725967 26
10 -198.733994 26
11 -197.771729 26
12 -196.818192 26
13 -195.788635 26
14 -195.507690 26
15 -194.181381 26
Frame # 21
0 -154.217010 26
1 -210.391312 26
2 -210.595551 26
3 -210.181976 26
4 -208.970078 26
5 -208.219589 26
6 -206.859207 26
7 -204.605148 26
8 -203.587891 26
9 -202.688522 26
10 -200.689194 26
11 -199.848557 26
12 -198.867355 26
13 -197.546646 26
14 -196.590134 26
15 -195.944138 26
Frame # 22
0 -154.969406 26
1 -205.946426 26
2 -208.204895 26
3 -208.687576 26
4 -207.727844 26
5 -206.893921 26
6 -205.629501 26
7 -203.548172 26
8 -202.422852 26
9 -201.315048 26
10 -199.199158 26
11 -197.960068 26
12 -196.818192 26
13 -196.066650 26
14 -195.310349 26
15 -193.903061 26
Frame # 23
0 -153.087570 26
1 -207.798019 26
2 -209.001938 26
3 -208.424301 26
4 -207.284363 26
5 -206.010117 26
6 -204.663681 26
7 -202.228058 26
8 -201.160263 26
9 -199.451004 26
10 -197.709595 26
11 -196.827240 26
12 -196.427856 26
13 -195.326431 26
14 -194.719696 26
15 -193.438751 26
Frame # 24
0 -157.415802 26
1 -209.094879 26
2 -210.861694 26
3 -210.621933 26
4 -209.679184 26
5 -208.573090 26
6 -207.386688 26
7 -205.221436 26
8 -204.169907 26
9 -202.786636 26
10 -200.782806 26
11 -199.848099 26
12 -199.062042 26
13 -197.917206 26
14 -197.476563 26
15 -196.593140 26
Frame # 25
0 -153.840637 26
1 -209.280106 26
2 -211.304047 26
3 -211.149384 26
4 -210.211823 26
5 -209.280121 26
6 -207.649765 26
7 -205.485550 26
8 -204.461655 26
9 -203.080521 26
10 -201.062180 26
11 -199.942947 26
12 -198.964935 26
13 -197.916763 26
14 -196.787003 26
15 -196.129684 26
Frame # 26
0 -156.474533 26
1 -210.113495 26
2 -211.924408 26
3 -211.764282 26
4 -210.477448 26
5 -209.456894 26
6 -208.088959 26
7 -206.013290 26
8 -204.947067 26
9 -203.865829 26
10 -201.806717 26
11 -200.792099 26
12 -199.647980 26
13 -198.749527 26
14 -198.263626 26
15 -197.892441 26
Frame # 27
0 -154.780869 26
1 -210.113495 26
2 -210.861694 26
3 -210.445679 26
4 -209.413086 26
5 -208.307968 26
6 -207.034897 26
7 -204.781219 26
8 -203.684967 26
9 -202.590439 26
10 -200.782333 26
11 -199.848557 26
12 -199.062515 26
13 -198.009293 26
14 -197.279205 26
15 -196.222458 26
Frame # 28
0 -155.345779 26
1 -209.372696 26
2 -210.330353 26
3 -210.006165 26
4 -208.969604 26
5 -207.689331 26
6 -206.332184 26
7 -204.164932 26
8 -203.102448 26
9 -201.413132 26
10 -199.385422 26
11 -198.526947 26
12 -197.891556 26
13 -196.991501 26
14 -196.295242 26
15 -195.480240 26
Frame # 29
0 -154.593033 26
1 -209.372696 26
2 -211.038818 26
3 -210.357788 26
4 -209.058304 26
5 -207.689331 26
6 -206.156525 26
7 -203.900818 26
8 -203.005356 26
9 -201.805573 26
10 -199.851074 26
11 -198.998947 26
12 -198.086716 26
13 -197.176559 26
14 -196.294769 26
15 -195.387466 26
Frame # 30
0 -157.321701 26
1 -211.872955 26
2 -213.075714 26
3 -212.643311 26
4 -211.453110 26
5 -210.429047 26
6 -208.879486 26
7 -206.630081 26
8 -205.529602 26
9 -204.062027 26
10 -202.086121 26
11 -201.264572 26
12 -200.623779 26
13 -199.397202 26
14 -198.755859 26
15 -197.242996 26
Frame # 31
0 -155.628052 26
1 -210.576523 26
2 -210.153229 26
3 -210.621506 26
4 -210.123138 26
5 -209.368927 26
6 -208.088959 26
7 -205.837692 26
8 -204.850006 26
9 -203.179062 26
10 -201.247971 26
11 -200.131760 26
12 -199.647980 26
13 -198.286896 26
14 -197.968765 26
15 -196.315231 26
Frame # 32
0 -157.416138 26
1 -209.280106 26
2 -212.455322 26
3 -212.555420 26
4 -211.364899 26
5 -210.252304 26
6 -208.615982 26
7 -206.101837 26
8 -205.141251 26
9 -203.669159 26
10 -201.620926 26
11 -200.698166 26
12 -199.940735 26
13 -199.119629 26
14 -198.559418 26
15 -197.614090 26
Frame # 33
0 -155.157593 26
1 -208.539291 26
2 -208.736267 26
3 -208.775497 26
4 -208.082626 26
5 -207.070679 26
6 -205.717331 26
7 -203.548676 26
8 -202.617035 26
9 -201.511261 26
10 -199.757935 26
11 -198.810150 26
12 -197.696411 26
13 -196.898972 26
14 -195.802567 26
15 -194.923599 26
Frame # 34
0 -155.439865 26
1 -207.891052 26
2 -209.267181 26
3 -209.127090 26
4 -208.083099 26
5 -207.247421 26
6 -206.068680 26
7 -203.812790 26
8 -202.908295 26
9 -201.412720 26
10 -199.479004 26
11 -198.432526 26
12 -197.696411 26
13 -196.806427 26
14 -195.999908 26
15 -195.665787 26
Frame # 35
0 -154.028809 26
1 -208.631882 26
2 -210.596008 26
3 -210.006607 26
4 -208.526123 26
5 -207.424179 26
6 -205.805161 26
7 -203.372574 26
8 -202.325287 26
9 -200.628281 26
10 -198.640854 26
11 -197.866119 26
12 -197.110916 26
13 -196.066650 26
14 -195.507690 26
15 -194.366516 26
Frame # 36
0 -154.593369 26
1 -207.520248 26
2 -207.584976 26
3 -207.281525 26
4 -206.131317 26
5 -205.037964 26
6 -203.521378 26
7 -201.435699 26
8 -200.480698 26
9 -199.156693 26
10 -197.150818 26
11 -196.261292 26
12 -195.354477 26
13 -194.586227 26
14 -194.129501 26
15 -193.160400 26
Frame # 37
0 -151.582108 26
1 -206.316406 26
2 -207.407852 26
3 -207.457336 26
4 -206.486099 26
5 -205.656616 26
6 -204.487595 26
7 -202.404160 26
8 -201.257828 26
9 -200.137756 26
10 -197.988968 26
11 -196.921661 26
12 -195.842392 26
13 -194.586227 26
14 -193.932175 26
15 -193.160828 26
Frame # 38
0 -153.840317 26
1 -206.131638 26
2 -207.850647 26
3 -208.072235 26
4 -207.284363 26
5 -206.540405 26
6 -205.278122 26
7 -203.284561 26
8 -202.131607 26
9 -200.922607 26
10 -199.012909 26
11 -198.149323 26
12 -196.916168 27
13 -196.066223 26
14 -195.310349 26
15 -194.645248 26
Frame # 39
0 -152.428925 26
