Frame # 0
0 -115.639488 27
1 -142.329315 27
2 -146.212799 27
3 -147.945541 27
4 -147.769165 27
5 -147.857773 27
6 -147.217651 27
7 -146.147171 27
8 -145.626328 27
9 -144.804245 27
10 -143.880005 27
11 -143.205887 27
12 -142.952301 27
13 -142.436768 27
14 -142.248459 27
15 -141.576126 27
Frame # 1
0 -114.228355 27
1 -142.884918 27
2 -148.515350 27
3 -149.615753 27
4 -149.010605 27
5 -149.006714 27
6 -148.183884 27
7 -146.763763 27
8 -146.111755 27
9 -145.000473 27
10 -143.973434 27
11 -143.394684 27
12 -142.952301 27
13 -142.529617 27
14 -142.543793 27
15 -141.854111 27
Frame # 2
0 -115.262871 27
1 -147.700226 27
2 -149.755539 27
3 -150.758530 27
4 -150.163651 27
5 -150.155945 27
6 -149.501450 27
7 -148.172104 27
8 -147.568008 27
9 -146.864822 27
10 -145.649399 27
11 -144.904785 27
12 -144.472992 27
13 -143.732803 27
14 -143.429764 27
15 -142.596664 27
Frame # 3
0 -114.886749 27
1 -143.718353 27
2 -146.921280 27
3 -148.648788 27
4 -148.123627 27
5 -148.388046 27
6 -147.744675 27
7 -146.499649 27
8 -146.014664 27
9 -145.294785 27
10 -144.345627 27
11 -143.677887 27
12 -143.342606 27
13 -142.714432 27
14 -142.445343 27
15 -142.040009 27
Frame # 4
0 -116.580681 27
1 -142.792328 27
2 -147.718307 27
3 -149.527847 27
4 -149.543106 27
5 -149.360229 27
6 -148.798752 27
7 -147.468094 27
8 -146.985504 27
9 -146.373947 27
10 -145.276886 27
11 -144.621902 27
12 -144.318375 27
13 -143.639954 27
14 -143.232880 27
15 -142.318344 27
Frame # 5
0 -115.357208 27
1 -142.884918 27
2 -147.629761 27
3 -149.176208 27
4 -148.744507 27
5 -148.741562 27
6 -148.096039 27
7 -146.675735 27
8 -146.208817 27
9 -145.294785 27
10 -144.066254 27
11 -143.583496 27
12 -143.049866 27
13 -142.529617 27
14 -142.051575 27
15 -141.668900 27
Frame # 6
0 -113.569458 27
1 -144.644363 27
2 -148.603912 27
3 -149.527496 27
4 -149.010605 27
5 -148.741562 27
6 -147.832520 27
7 -146.323563 27
8 -145.917572 27
9 -144.902359 27
10 -143.600616 27
11 -143.205887 27
12 -142.757141 27
13 -142.251968 27
14 -141.854706 27
15 -141.205017 27
Frame # 7
0 -115.074936 27
1 -145.848190 27
2 -150.109787 27
3 -151.021896 27
4 -150.607468 27
5 -150.155624 27
6 -149.413620 27
7 -147.731903 27
8 -147.179688 27
9 -145.883408 27
10 -144.531891 27
11 -143.866684 27
12 -143.537766 27
13 -143.084641 27
14 -143.134445 27
15 -142.596664 27
Frame # 8
0 -116.674759 27
1 -148.533310 27
2 -152.412003 27
3 -152.692444 27
4 -151.848892 27
5 -151.392929 27
6 -150.643356 27
7 -149.052826 27
8 -148.538528 27
9 -147.845535 27
10 -146.953476 27
11 -146.226395 27
12 -145.684479 27
13 -144.935974 27
14 -144.315750 27
15 -143.431290 27
Frame # 9
0 -117.144707 27
1 -151.959579 27
2 -152.766586 27
3 -153.307800 27
4 -152.430252 27
5 -152.188339 27
6 -151.434235 27
7 -149.668793 27
8 -149.218140 27
9 -148.042099 27
10 -146.860336 27
11 -146.320801 27
12 -145.684479 27
13 -145.028519 27
14 -144.512619 27
15 -144.080719 27
Frame # 10
0 -116.015862 27
1 -147.236877 27
2 -149.755539 27
3 -150.934341 27
4 -150.695816 27
5 -150.509140 27
6 -149.940979 27
7 -148.700348 27
8 -148.053116 27
9 -147.159134 27
10 -145.929077 27
11 -145.282394 27
12 -144.708710 27
13 -144.010452 27
14 -143.232880 27
15 -141.946884 27
Frame # 11
0 -116.486069 27
1 -147.329819 27
2 -150.375473 27
3 -151.285614 27
4 -150.873230 27
5 -150.774597 27
6 -150.204163 27
7 -148.612305 27
8 -148.053436 27
9 -147.159134 27
10 -146.021896 27
11 -145.565903 27
12 -145.350922 27
13 -144.473206 27
14 -144.315430 27
15 -143.617203 27
Frame # 12
0 -116.956779 27
1 -151.033905 27
2 -153.386169 27
3 -153.571167 27
4 -152.735840 27
5 -152.188339 27
6 -151.346069 27
7 -149.756821 27
8 -149.121368 27
9 -148.237961 27
10 -147.046295 27
11 -146.509903 27
12 -146.172363 27
13 -145.490967 27
14 -145.103271 27
15 -144.173859 27
Frame # 13
0 -116.862686 27
1 -150.292740 27
2 -152.766586 27
3 -153.747314 27
4 -153.356735 27
5 -152.983749 27
6 -152.136948 27
7 -150.549194 27
8 -149.800613 27
9 -148.630737 27
10 -147.232849 27
11 -146.604004 27
12 -145.977219 27
13 -145.213623 27
14 -145.004837 27
15 -143.709610 27
Frame # 14
0 -117.709259 27
1 -151.959930 27
2 -155.777649 27
3 -155.505081 27
4 -154.243713 27
5 -153.514343 27
6 -152.575821 27
7 -150.637222 27
8 -149.995117 27
9 -149.219360 27
10 -148.070679 27
11 -147.359207 27
12 -146.660263 27
13 -146.046585 27
14 -145.398300 27
15 -144.544601 27
Frame # 15
0 -116.674507 27
1 -153.626404 27
2 -153.120483 27
3 -153.219894 27
4 -152.469772 27
5 -152.011581 27
6 -151.346390 27
7 -149.669113 27
8 -148.926865 27
9 -147.551224 27
10 -146.301590 27
11 -145.754700 27
