Frame # 0
0 -185.454758 27
1 -118.807594 27
2 -127.171799 27
3 -131.506241 27
4 -134.020233 27
5 -135.926041 27
6 -136.939590 27
7 -138.222931 27
8 -138.926605 27
9 -139.211594 27
10 -140.154312 27
11 -140.561737 27
12 -141.350098 28
13 -141.880844 27
14 -142.543152 27
15 -142.874008 27
Frame # 1
0 -198.345322 27
1 -117.788979 27
2 -124.780685 27
3 -129.748154 27
4 -132.600800 27
5 -135.042252 27
6 -136.500412 27
7 -138.398682 27
8 -139.023682 27
9 -139.309708 27
10 -140.247131 28
11 -140.561737 27
12 -141.000092 27
13 -141.418091 27
14 -142.247528 27
15 -142.688446 27
Frame # 2
0 -186.677963 27
1 -118.066788 27
2 -127.083237 27
3 -131.857880 27
4 -134.286041 27
5 -136.191177 27
6 -137.378784 27
7 -138.927246 27
8 -139.606476 27
9 -139.898331 27
10 -140.712753 28
11 -141.128143 27
12 -141.740311 28
13 -142.158508 27
14 -142.838181 27
15 -142.874008 27
Frame # 3
0 -182.726105 27
1 -117.881584 27
2 -125.754852 27
3 -130.539291 27
4 -133.132996 27
5 -135.395767 27
6 -136.588257 27
7 -138.134567 27
8 -139.023682 27
9 -139.407806 27
10 -140.247131 28
11 -140.467331 27
12 -141.195251 27
13 -141.418091 27
14 -141.952194 27
15 -142.131805 27
Frame # 4
0 -180.938370 27
1 -117.974174 27
2 -126.906120 27
3 -131.330444 27
4 -133.842819 27
5 -135.572525 27
6 -136.588257 27
7 -138.046844 27
8 -138.732437 27
9 -138.917282 27
10 -139.688370 28
11 -140.184128 27
12 -140.764801 28
13 -141.232986 27
14 -141.952194 27
15 -142.039032 27
Frame # 5
0 -184.702469 27
1 -118.159378 27
2 -126.640442 27
3 -131.418335 27
4 -133.842819 27
5 -136.067596 27
6 -137.203110 27
7 -138.839203 27
8 -139.314941 27
9 -140.094543 27
10 -140.992462 27
11 -141.411331 27
12 -142.228043 28
13 -142.621262 27
14 -143.035049 27
15 -143.152328 27
Frame # 6
0 -199.944885 27
1 -119.085396 27
2 -127.171799 27
3 -131.594147 27
4 -134.019943 27
5 -135.926041 27
6 -137.115265 27
7 -138.487045 27
8 -139.120758 27
9 -139.505920 27
10 -140.247131 28
11 -140.561737 27
12 -141.292831 27
13 -141.788284 27
14 -142.050644 27
15 -141.946259 27
Frame # 7
0 -192.041641 27
1 -118.900200 27
2 -126.197647 27
3 -130.857880 27
4 -133.399094 27
5 -135.537460 27
6 -136.641617 27
7 -138.222931 27
8 -138.829529 27
9 -139.604034 27
10 -140.433716 27
11 -140.750534 27
12 -141.390411 27
13 -141.880844 27
14 -142.542847 27
15 -142.874008 27
Frame # 8
0 -190.629807 27
1 -116.399956 27
2 -122.301018 27
3 -126.935181 27
4 -129.762787 27
5 -132.091614 27
6 -133.601761 27
7 -135.581726 27
8 -136.014084 27
9 -137.249496 27
10 -138.105225 28
11 -138.296127 27
12 -138.813797 28
13 -139.104309 27
14 -139.392731 27
15 -139.348541 27
Frame # 9
0 -190.064850 27
1 -116.585159 27
2 -125.577728 27
3 -130.363480 27
4 -133.132996 27
5 -135.307373 27
6 -136.588257 27
7 -138.134888 27
8 -138.926605 27
9 -139.211594 27
10 -140.154312 27
11 -140.656128 27
12 -141.447662 28
13 -141.788284 27
14 -142.444412 27
15 -142.595673 27
Frame # 10
0 -192.981689 27
1 -117.788979 27
2 -126.109085 27
3 -130.803009 27
4 -133.487778 27
5 -135.572525 27
6 -136.817245 27
7 -138.398682 27
8 -138.926605 27
9 -139.505920 27
10 -140.153992 28
11 -140.467331 27
12 -141.097672 27
13 -141.418091 27
14 -141.952194 27
15 -142.131805 27
Frame # 11
0 -188.372055 27
1 -118.159378 27
2 -126.729004 27
3 -130.945755 27
4 -132.866898 27
5 -134.830627 27
6 -135.675644 27
7 -136.990356 27
8 -137.664505 27
9 -137.936218 27
10 -138.850571 27
11 -139.239807 28
12 -139.829147 27
13 -140.307480 27
14 -141.066238 27
15 -141.575150 27
Frame # 12
0 -198.910355 27
1 -118.159378 27
2 -126.286209 27
3 -131.033646 27
4 -133.665161 27
5 -135.979248 27
6 -137.256317 27
7 -139.103317 27
8 -139.703278 27
9 -140.585083 27
10 -141.644333 27
11 -142.071808 28
12 -142.756485 27
13 -143.269104 27
14 -143.724136 27
15 -143.987305 27
Frame # 13
0 -182.444260 27
1 -118.900200 27
2 -128.500198 27
3 -133.054962 27
4 -135.527786 27
5 -137.746353 27
6 -138.837006 27
7 -140.511963 27
8 -141.062439 27
9 -141.468018 27
10 -142.296204 27
11 -142.638214 28
12 -143.146790 27
13 -143.454224 27
14 -143.921036 27
15 -144.358414 27
Frame # 14
0 -208.319534 27
1 -119.548409 27
2 -127.083237 27
3 -131.769974 27
4 -134.375015 27
5 -136.509384 27
6 -137.730133 27
