Frame # 0
0 -228.269028 27
1 -161.683487 27
2 -173.224030 27
3 -180.295700 27
4 -184.489700 27
5 -188.070541 27
6 -190.083344 27
7 -193.249695 27
8 -194.848495 27
9 -195.427750 27
10 -197.894073 27
11 -199.469193 27
12 -201.442734 27
13 -202.966797 27
14 -204.464188 27
15 -205.313202 27
Frame # 1
0 -223.751617 27
1 -159.738846 27
2 -168.619263 27
3 -175.372543 27
4 -179.345276 27
5 -183.033356 27
6 -185.340042 27
7 -188.583084 27
8 -189.800079 27
9 -190.620544 27
10 -192.864792 27
11 -193.805145 27
12 -195.199493 27
13 -196.487747 27
14 -197.967026 27
15 -199.190399 27
Frame # 2
0 -223.470306 27
1 -159.553635 27
2 -172.693054 27
3 -179.416229 27
4 -183.602753 27
5 -187.186737 27
6 -189.293228 27
7 -192.632950 27
8 -193.974716 27
9 -195.035339 27
10 -197.335327 27
11 -198.430283 27
12 -199.686813 27
13 -201.022797 27
14 -202.200043 27
15 -203.458115 27
Frame # 3
0 -236.265900 27
1 -163.165131 27
2 -176.235474 27
3 -183.284103 27
4 -187.416718 27
5 -191.075851 27
6 -192.982025 27
7 -196.418686 27
8 -197.858109 27
9 -198.861481 27
10 -201.339294 27
11 -202.490005 27
12 -204.272217 27
13 -205.928024 27
14 -207.712784 27
15 -208.746338 27
Frame # 4
0 -226.387192 27
1 -164.091156 27
2 -175.083817 27
3 -181.789703 27
4 -185.731461 27
5 -189.396210 27
6 -191.225693 27
7 -194.570313 27
8 -196.013519 27
9 -196.898941 27
10 -199.384109 27
11 -200.696396 27
12 -202.515808 27
13 -203.984451 27
14 -205.645493 27
15 -207.168747 27
Frame # 5
0 -232.972641 27
1 -161.313080 27
2 -171.010406 27
3 -177.833923 27
4 -181.917511 27
5 -185.419586 27
6 -187.623856 27
7 -190.960175 27
8 -192.227219 27
9 -193.170898 27
10 -195.472336 27
11 -196.825958 27
12 -198.516220 27
13 -200.189819 27
14 -202.101578 27
15 -203.458115 27
Frame # 6
0 -223.846176 27
1 -161.127869 27
2 -173.401520 27
3 -180.295288 27
4 -184.489700 27
5 -188.247742 27
6 -190.522980 27
7 -193.953568 27
8 -195.333908 27
9 -196.408813 27
10 -199.011124 27
11 -200.413193 27
12 -202.223633 27
13 -203.984451 27
14 -205.940826 27
15 -207.354706 27
Frame # 7
0 -228.551315 27
1 -161.498291 27
2 -173.224396 27
3 -180.559006 27
4 -184.578415 27
5 -188.424057 27
6 -190.522980 27
7 -194.041595 27
8 -195.625153 27
9 -196.310730 27
10 -198.545517 27
11 -199.941177 27
12 -201.735886 27
13 -203.521683 27
14 -205.645493 27
15 -207.261932 27
Frame # 8
0 -222.717560 27
1 -162.887329 27
2 -175.438416 27
3 -182.580841 27
4 -186.529755 27
5 -190.014862 27
6 -191.928406 27
7 -195.010513 27
8 -196.498444 27
9 -197.291794 27
10 -199.942871 27
11 -201.356735 27
12 -203.393768 27
13 -205.187637 27
14 -207.121643 27
15 -208.189697 27
Frame # 9
0 -228.833588 27
1 -160.016647 27
2 -169.415924 27
3 -176.515335 27
4 -180.764435 27
5 -184.358612 27
6 -186.481949 27
7 -189.816101 27
8 -191.450531 27
9 -192.484558 27
10 -195.007156 27
11 -196.165161 27
12 -197.735809 27
13 -199.264709 27
14 -201.117157 27
15 -202.715897 27
Frame # 10
0 -229.491745 27
1 -159.646240 27
2 -171.807434 27
3 -178.888794 27
4 -183.070969 27
5 -186.656479 27
6 -188.765762 27
7 -192.105164 27
8 -193.683472 27
9 -194.740601 27
10 -197.242188 27
11 -198.430771 27
12 -199.784363 27
13 -201.300446 27
14 -202.987564 27
15 -204.571014 27
Frame # 11
0 -221.399307 27
1 -160.387054 27
2 -171.984558 27
3 -178.712982 27
4 -182.627075 27
5 -186.214996 27
6 -188.326569 27
7 -191.664948 27
8 -193.198059 27
9 -194.348602 27
10 -196.962341 27
11 -198.336380 27
12 -200.077011 27
13 -201.762711 27
14 -203.578217 27
15 -204.849747 27
Frame # 12
0 -218.764709 27
1 -161.498291 27
2 -173.667206 27
3 -180.295288 27
4 -183.780121 27
5 -187.187180 27
6 -189.029709 27
7 -192.016663 27
8 -193.392227 27
9 -194.348602 27
10 -197.055481 27
11 -198.430771 27
12 -200.467712 27
13 -202.133408 27
14 -203.971985 27
15 -205.128067 27
Frame # 13
0 -224.693008 27
1 -161.127869 27
2 -172.250244 27
3 -179.064606 27
4 -182.893173 27
5 -186.568085 27
6 -188.678360 27
7 -191.929077 27
8 -193.392227 27
9 -194.348602 27
10 -196.869690 27
11 -198.052689 27
12 -199.589279 27
13 -201.300446 27
14 -202.888626 27
15 -204.200302 27
Frame # 14
0 -238.148254 27
1 -160.942673 27
2 -172.073120 27
3 -179.064606 27
4 -183.248352 27
5 -186.479706 27
6 -188.414398 27
7 -191.664948 27
8 -193.198059 27
9 -193.759537 27
10 -196.124695 27
11 -197.297974 27
12 -198.906418 27
13 -200.374908 27
14 -201.806259 27
15 -202.715897 27
Frame # 15
0 -235.983627 27
1 -161.868698 27
2 -174.818481 27
3 -181.701782 27
4 -185.642776 27
5 -189.485031 27
6 -191.664444 27
7 -195.274170 27
8 -196.595993 27
9 -197.880417 27
10 -200.314896 27
11 -201.640396 27
12 -203.198669 27
13 -205.002518 27
14 -207.023682 27
15 -208.653564 27
Frame # 16
0 -230.056290 27
1 -163.442581 27
2 -174.995605 27
