Frame # 0
0 -177.363678 26
1 -238.728027 26
2 -232.204697 26
3 -227.236115 26
4 -222.984192 26
5 -219.709229 26
6 -216.960632 26
7 -212.352661 26
8 -210.481384 27
9 -207.986282 26
10 -204.694138 26
11 -203.247452 27
12 -201.502426 27
13 -200.137878 26
14 -198.559418 26
15 -196.036911 26
Frame # 1
0 -176.234558 26
1 -242.987717 26
2 -232.381821 26
3 -227.148193 26
4 -223.250290 26
5 -219.886002 26
6 -216.960632 26
7 -212.353104 26
8 -210.772659 27
9 -208.182510 26
10 -204.601028 26
11 -202.775436 27
12 -201.404831 27
13 -200.044891 26
14 -198.559418 26
15 -196.315689 26
Frame # 2
0 -174.353119 26
1 -240.950485 26
2 -229.725006 26
3 -224.686829 26
4 -221.032852 26
5 -218.030045 26
6 -215.643036 26
7 -210.944458 26
8 -209.025101 27
9 -207.103333 26
10 -203.204102 26
11 -201.359406 27
12 -200.136292 27
13 -198.935028 26
14 -197.673447 26
15 -195.295135 26
Frame # 3
0 -178.399094 26
1 -240.487457 26
2 -230.787735 26
3 -225.390076 26
4 -220.678070 26
5 -216.615982 26
6 -214.150253 26
7 -209.623871 26
8 -207.665466 26
9 -205.729828 26
10 -202.645355 26
11 -200.698608 27
12 -199.452820 26
13 -197.547104 26
14 -196.196793 26
15 -194.366928 26
Frame # 4
0 -172.847656 26
1 -239.931305 26
2 -226.891083 26
3 -221.961746 26
4 -218.194565 26
5 -215.025177 26
6 -212.217361 26
7 -207.951111 26
8 -206.015030 26
9 -203.375259 26
10 -199.572144 26
11 -198.055344 27
12 -196.525833 27
13 -195.326431 26
14 -194.129501 26
15 -192.233490 26
Frame # 5
0 -167.295822 26
1 -235.209137 26
2 -226.625427 26
3 -222.665009 26
4 -219.525024 26
5 -216.969513 26
6 -214.501160 26
7 -210.591888 26
8 -208.345505 27
9 -206.220367 26
10 -202.645355 26
11 -201.170624 27
12 -199.843567 27
13 -198.657440 26
14 -197.574997 26
15 -195.759018 26
Frame # 6
0 -173.599991 26
1 -239.376251 26
2 -232.027588 26
3 -226.884491 26
4 -223.250290 26
5 -220.151108 26
6 -217.487656 26
7 -212.880905 26
8 -210.772186 26
9 -208.182510 26
10 -204.694138 26
11 -203.247452 27
12 -201.502426 27
13 -200.507996 26
14 -199.051651 26
15 -196.779556 26
Frame # 7
0 -172.658691 26
1 -239.283630 26
2 -227.777222 26
3 -223.016632 26
4 -219.170227 26
5 -216.262466 26
6 -213.886734 26
7 -209.447357 26
8 -207.859650 26
9 -205.730301 26
10 -202.179703 26
11 -200.886978 26
12 -199.160507 27
13 -197.454575 26
14 -195.901459 26
15 -193.995834 26
Frame # 8
0 -174.446808 26
1 -239.931305 26
2 -230.876831 26
3 -225.829605 26
4 -222.540710 26
5 -219.355270 26
6 -216.873245 26
7 -212.441147 26
8 -210.578033 26
9 -208.378723 26
10 -204.042679 27
11 -202.303024 26
12 -200.916534 26
13 -199.582718 26
14 -197.969177 27
15 -195.665787 26
Frame # 9
