Frame # 0
0 -235.514175 27
1 -245.026062 27
2 -246.818771 27
3 -238.401703 27
4 -233.717560 27
5 -231.819183 27
6 -227.591080 27
7 -220.894974 27
8 -219.896729 27
9 -217.011642 27
10 -209.535339 27
11 -208.626999 27
12 -208.428726 27
13 -207.779526 27
14 -205.252640 27
15 -203.180267 27
Frame # 1
0 -266.658875 27
1 -265.306000 27
2 -277.195129 27
3 -253.257874 27
4 -239.038879 27
5 -231.288925 27
6 -225.307739 27
7 -215.436432 27
8 -212.032883 27
9 -209.653656 27
10 -204.413376 27
11 -202.340668 27
12 -200.524841 27
13 -198.894501 27
14 -197.475204 27
15 -196.871460 27
Frame # 2
0 -248.123169 27
1 -263.639160 27
2 -255.586288 27
3 -242.621750 27
4 -236.289246 27
5 -230.227875 27
6 -225.746948 27
7 -218.341782 27
8 -216.790024 27
9 -212.401077 27
10 -205.530899 27
11 -203.850662 27
12 -202.964325 27
13 -200.746002 27
14 -200.133163 27
15 -198.819778 27
Frame # 3
0 -265.435699 27
1 -272.065979 27
2 -275.866730 27
3 -254.049026 27
4 -240.458557 27
5 -232.791367 27
6 -226.713165 27
7 -217.637482 27
8 -213.975052 27
9 -212.008224 27
10 -205.530899 27
11 -202.585297 27
12 -200.915146 27
13 -200.097687 27
14 -198.853867 27
15 -197.335342 27
Frame # 4
0 -255.085495 27
1 -270.306549 27
2 -264.088684 27
3 -250.181152 27
4 -238.861465 27
5 -230.228363 27
6 -224.341522 27
7 -218.165710 27
8 -214.265793 27
9 -211.419571 27
10 -206.555298 27
11 -204.039413 27
12 -201.695786 27
13 -200.652985 27
14 -199.345612 27
15 -197.521317 27
Frame # 5
0 -224.788101 27
1 -253.267685 27
2 -245.756058 27
3 -234.885971 27
4 -227.596939 27
5 -222.627731 27
6 -220.037384 27
7 -213.939743 27
8 -211.256180 27
9 -208.476822 27
10 -204.785889 27
11 -202.906906 27
12 -200.915146 27
13 -198.709854 27
14 -196.490799 27
15 -194.644836 27
Frame # 6
0 -258.566895 27
1 -255.397537 27
2 -266.302155 27
3 -240.071930 27
4 -232.121002 27
5 -225.367477 27
6 -219.685547 27
7 -212.266953 27
8 -209.897018 27
9 -206.808578 27
10 -202.085190 27
11 -200.319672 27
12 -199.061157 27
13 -197.043457 27
14 -195.605255 27
15 -194.459290 27
Frame # 7
0 -242.948059 27
1 -264.287354 27
2 -262.051239 27
3 -241.830597 27
4 -233.894424 27
5 -229.255692 27
6 -223.463120 27
7 -214.291901 27
8 -212.518295 27
9 -208.574463 27
10 -204.785889 27
11 -201.868774 27
12 -200.077499 27
13 -198.524765 27
14 -197.475204 27
15 -195.943695 27
Frame # 8
0 -260.542847 27
1 -270.676941 27
2 -270.287384 27
3 -249.741623 27
4 -235.668381 27
5 -228.991043 27
6 -223.550476 27
7 -214.027786 27
8 -210.577087 27
9 -207.397202 27
10 -203.668350 27
11 -201.585648 27
12 -200.719986 27
13 -199.357254 27
14 -198.065887 27
15 -196.593552 27
Frame # 9
0 -254.521469 27
1 -267.621033 27
2 -260.191467 27
3 -247.016525 27
4 -236.644058 27
5 -230.051102 27
6 -224.692856 27
7 -218.341782 27
8 -213.100800 27
9 -209.261230 27
10 -204.413376 27
11 -202.435028 27
12 -200.719986 27
13 -197.969437 27
14 -195.998581 27
15 -194.273712 27
Frame # 10
0 -255.367767 27
1 -259.194244 27
2 -264.088135 27
3 -240.511475 27
4 -229.726196 27
5 -223.953415 27
6 -218.982834 27
7 -211.738724 27
8 -209.314499 27
9 -205.827484 27
10 -200.129532 27
11 -198.337265 27
12 -197.207153 27
13 -195.562637 27
14 -193.636398 27
15 -192.325424 27
Frame # 11
0 -258.096436 27
1 -270.121338 27
2 -269.224670 27
3 -253.082062 27
4 -242.764145 27
5 -232.526215 27
6 -225.219894 27
7 -216.757050 27
8 -212.421204 27
9 -209.261230 27
10 -205.809860 27
11 -204.228149 27
12 -202.964325 27
13 -200.745560 27
14 -199.345612 27
15 -197.799652 27
Frame # 12
0 -264.871704 27
1 -272.621582 27
2 -270.641632 27
3 -252.731003 27
4 -239.305511 27
5 -230.139496 27
6 -223.814468 27
7 -215.612534 27
8 -211.159103 27
9 -208.476379 27
10 -203.388977 27
11 -201.868774 27
12 -201.207870 27
13 -199.913040 27
14 -198.459641 27
15 -197.057022 27
Frame # 13
0 -252.263245 27
1 -270.399139 27
2 -269.756012 27
3 -249.126297 27
4 -238.507217 27
5 -230.581406 27
6 -225.482925 27
7 -216.757050 27
8 -213.780380 27
9 -210.340393 27
10 -205.903381 27
11 -203.945023 27
12 -202.321198 27
13 -200.652985 27
14 -199.542969 27
15 -197.984787 27
Frame # 14
0 -236.831482 27
1 -263.361908 27
2 -257.623199 27
3 -244.730972 27
4 -234.959335 27
5 -229.609711 27
6 -224.955902 27
7 -216.580978 27
8 -214.654663 27
9 -211.223358 27
10 -206.182785 27
11 -204.284546 27
12 -202.476410 27
13 -200.467880 27
14 -199.346069 27
15 -198.077560 27
Frame # 15
0 -267.317566 27
1 -267.158051 27
2 -275.689606 27
3 -246.049561 27
4 -234.427139 27
5 -228.284012 27
6 -223.199127 27
7 -214.996246 27
8 -211.838699 27
9 -209.065033 27
10 -204.040863 27
11 -202.018890 27
12 -200.817566 27
13 -200.282791 27
14 -199.149200 27
15 -197.799240 27
Frame # 16
0 -270.516693 27
1 -282.252228 27
2 -278.877777 27
3 -252.378799 27
4 -241.788483 27
5 -232.614594 27
6 -227.152359 27
7 -217.637024 27
8 -214.654160 27
9 -210.340393 27
10 -205.717148 27
11 -204.133774 27
12 -202.964325 27
13 -200.745560 27
14 -199.345612 27
15 -198.077560 27
Frame # 17
0 -271.834595 27
1 -280.214996 27
2 -275.334717 27
3 -250.357529 27
4 -239.837143 27
5 -233.056015 27
6 -226.625320 27
7 -215.788605 27
8 -214.459976 27
9 -211.223358 27
10 -205.251495 27
11 -202.906906 27
12 -201.793365 27
13 -199.172623 27
14 -198.656540 27
15 -197.149796 27
Frame # 18
0 -272.210938 27
1 -281.140991 27
2 -279.851959 27
3 -251.148682 27
4 -233.362778 27
5 -226.515961 27
6 -220.300903 27
7 -211.210480 27
8 -209.508652 27
9 -206.808578 27
10 -201.619568 27
11 -199.792526 27
12 -197.792618 27
13 -196.673706 27
14 -195.900146 27
15 -194.459290 27
Frame # 19
0 -269.199402 27
1 -280.492798 27
2 -276.132385 27
3 -252.378799 27
4 -238.595917 27
5 -228.814270 27
6 -221.793701 27
7 -212.971283 27
8 -210.964951 27
9 -208.182053 27
10 -202.178314 27
11 -200.130859 27
12 -198.516708 27
13 -196.673264 27
14 -195.309937 27
15 -193.531525 27
Frame # 20
0 -239.371979 27
1 -260.953674 27
2 -247.704391 27
3 -239.544510 27
4 -232.918762 27
5 -229.786453 27
6 -227.240189 27
7 -220.718445 27
8 -218.149170 27
9 -214.951416 27
10 -211.211624 27
11 -208.569427 27
12 -206.281998 27
13 -204.632721 27
14 -201.905121 27
15 -200.768066 27
Frame # 21
0 -262.801666 27
1 -261.324097 27
2 -268.604736 27
3 -245.698471 27
4 -233.983124 27
5 -226.781082 27
6 -220.652252 27
7 -212.707169 27
8 -210.382431 27
9 -207.397202 27
10 -203.016464 27
11 -201.868774 27
12 -200.467712 27
13 -198.987518 27
14 -197.868988 27
15 -196.407578 27
Frame # 22
0 -263.270966 27
1 -273.732819 27
2 -271.438690 27
3 -254.928085 27
4 -242.675461 27
5 -234.205429 27
6 -228.645630 27
7 -218.429398 27
8 -215.430817 27
9 -212.106308 27
10 -206.647980 27
11 -205.455048 27
12 -203.842514 27
13 -202.689148 27
14 -201.412918 27
15 -198.912994 27
Frame # 23
0 -257.438354 27
1 -273.454376 27
2 -268.958984 27
3 -254.840744 27
4 -243.562439 27
5 -234.293320 27
6 -227.152359 27
7 -218.165710 27
8 -214.459976 27
9 -211.615784 27
10 -205.903381 27
11 -204.322540 27
12 -202.281250 27
13 -201.023666 27
14 -199.345612 27
15 -198.263107 27
Frame # 24
0 -263.647919 27
1 -269.750916 27
2 -274.184052 27
3 -252.466721 27
4 -239.216797 27
5 -231.553558 27
6 -226.536987 27
7 -216.404877 27
8 -213.100800 27
9 -210.046097 27
10 -206.462158 27
11 -205.643799 27
12 -205.052628 27
13 -202.041290 27
14 -200.822723 27
15 -198.263107 27
Frame # 25
0 -250.474930 27
1 -274.288422 27
2 -267.187775 27
3 -247.631866 27
4 -237.353638 27
5 -231.995468 27
6 -227.328033 27
7 -220.542831 27
8 -218.343353 27
9 -214.657089 27
10 -209.349075 27
11 -207.720047 27
12 -205.598923 27
13 -204.077896 27
14 -201.905121 27
15 -199.654739 27
Frame # 26
0 -270.610779 27
1 -275.584839 27
2 -283.394379 27
3 -252.378799 27
4 -235.225418 27
5 -229.167801 27
6 -223.813995 27
7 -215.876648 27
8 -213.489136 27
9 -210.634720 27
10 -206.368607 27
11 -204.133774 27
12 -202.476410 27
13 -200.190231 27
14 -198.754959 27
15 -196.964249 27
Frame # 27
0 -257.626556 27
1 -276.325684 27
2 -265.593658 27
3 -250.445419 27
4 -239.926392 27
5 -233.586288 27
6 -228.645142 27
7 -219.926529 27
8 -216.304581 27
9 -212.793076 27
10 -206.555298 27
11 -205.266281 27
12 -203.882019 27
13 -202.133835 27
14 -201.610260 27
15 -200.768066 27
Frame # 28
0 -259.132019 27
1 -269.380493 27
2 -265.239441 27
3 -249.742172 27
4 -242.498047 27
5 -238.889023 27
6 -233.301102 27
7 -222.743866 27
8 -218.925888 27
9 -214.362762 27
10 -208.883453 27
11 -205.549408 27
12 -202.711395 27
13 -201.671539 27
14 -200.428497 27
15 -200.211411 27
Frame # 29
0 -241.159760 27
1 -263.546570 27
2 -255.674850 27
3 -246.840714 27
4 -239.659760 27
5 -233.851913 27
6 -228.030746 27
7 -219.486343 27
8 -216.596359 27
9 -212.400635 27
10 -206.182785 27
11 -204.228149 27
12 -201.403061 27
13 -199.727478 27
14 -198.361206 27
15 -197.335342 27
Frame # 30
0 -262.330627 27
1 -269.102692 27
2 -275.246796 27
3 -249.566345 27
4 -239.038879 27
5 -230.758133 27
6 -224.868546 27
7 -215.876648 27
8 -212.032883 27
9 -209.359329 27
10 -205.530899 27
11 -202.718155 27
12 -201.110306 27
13 -198.894974 27
14 -197.868988 27
15 -197.242569 27
Frame # 31
0 -251.792770 27
1 -268.454468 27
2 -262.316925 27
3 -245.873749 27
4 -236.378479 27
5 -232.084335 27
6 -228.469940 27
7 -222.391693 27
8 -219.120071 27
9 -217.011642 27
10 -211.584137 27
11 -209.230042 27
12 -207.296295 27
13 -206.299149 27
14 -206.138138 27
15 -204.942993 27
Frame # 32
0 -238.148788 27
1 -253.823303 27
2 -244.959000 27
3 -242.884949 27
4 -239.038879 27
5 -234.735718 27
6 -231.280319 27
7 -228.466522 27
8 -225.333984 27
9 -222.113159 27
10 -216.426743 27
11 -213.535858 27
12 -210.575470 27
13 -208.519913 27
14 -206.531906 27
15 -203.829681 27
Frame # 33
0 -245.205734 27
