Frame # 0
0 -187.337036 27
1 -201.130234 27
2 -199.967911 27
3 -183.587723 27
4 -173.933228 27
5 -169.421463 27
6 -166.586838 27
7 -160.056870 27
8 -157.760818 27
9 -155.693314 27
10 -154.216324 27
11 -152.550552 27
12 -150.855453 27
13 -150.580948 27
14 -150.811920 27
15 -149.553818 27
Frame # 1
0 -180.468719 27
1 -194.555542 27
2 -188.278030 27
3 -181.126999 27
4 -173.224014 27
5 -167.565521 27
6 -163.688919 27
7 -159.176468 27
8 -156.595795 27
9 -154.810364 27
10 -151.422852 27
11 -150.568146 27
12 -149.001480 27
13 -148.267166 27
14 -147.464920 27
15 -146.863342 27
Frame # 2
0 -171.623688 27
1 -182.609955 27
2 -179.067810 27
3 -177.523788 27
4 -172.868866 27
5 -169.244705 27
6 -168.035034 27
7 -163.314346 27
8 -161.061646 27
9 -159.029266 27
10 -154.402573 27
11 -153.022552 27
12 -152.904602 27
13 -150.950851 27
14 -149.335297 27
15 -148.533661 27
Frame # 3
0 -175.575928 27
1 -184.184174 27
2 -182.167389 27
3 -180.072403 27
4 -172.780533 27
5 -169.509842 27
6 -166.850296 27
7 -160.144913 27
8 -156.984161 27
9 -155.006577 27
10 -150.491287 27
11 -149.718552 27
12 -148.513596 27
13 -146.601242 27
14 -145.201050 27
15 -143.894531 27
Frame # 4
0 -184.702026 27
1 -187.888229 27
2 -196.995331 27
3 -182.842926 27
4 -172.691483 27
5 -168.360916 27
6 -164.479263 27
7 -159.000381 27
8 -156.887390 27
9 -155.104675 27
10 -151.515686 27
11 -150.096146 27
12 -148.903900 27
13 -147.619019 27
14 -147.071152 27
15 -146.863708 27
Frame # 5
0 -168.706833 27
1 -189.647675 27
2 -178.182220 27
3 -172.602325 27
4 -167.636139 27
5 -166.151459 27
6 -163.601105 27
7 -160.144913 27
8 -159.993744 27
9 -159.127380 27
10 -156.916977 27
11 -156.326553 27
12 -156.319824 27
13 -155.393631 27
14 -154.257355 27
15 -152.429855 27
Frame # 6
0 -163.531403 27
1 -174.739258 27
2 -171.894485 27
3 -169.920853 27
4 -165.950928 27
5 -164.295517 27
6 -163.337662 27
7 -161.729630 27
8 -161.061996 27
9 -159.421310 27
10 -158.127243 28
11 -156.378494 27
12 -155.441635 27
13 -154.190140 27
14 -153.174515 27
15 -152.151535 27
Frame # 7
0 -171.623688 27
1 -177.702515 27
2 -177.916534 27
3 -173.437057 27
4 -170.030960 27
5 -168.007401 27
6 -167.377182 27
7 -165.779816 27
8 -163.585831 27
9 -162.070160 27
10 -159.897324 27
11 -158.403351 27
12 -157.002869 27
13 -155.301056 27
14 -153.568573 27
15 -151.502106 27
Frame # 8
0 -177.080597 27
1 -181.498749 27
2 -184.954269 27
3 -177.304886 27
4 -172.070602 27
5 -167.742264 27
6 -164.742722 27
7 -160.497070 27
8 -158.343323 27
9 -155.595581 27
10 -153.471313 27
11 -152.550552 27
12 -151.928818 27
13 -150.580948 27
14 -149.729065 27
15 -148.347748 27
Frame # 9
0 -187.431534 27
1 -192.888718 27
2 -194.034424 27
3 -183.546158 27
4 -177.570145 27
5 -173.575256 27
6 -169.309128 27
7 -163.578812 27
8 -160.576233 27
9 -157.949738 27
10 -156.079163 27
11 -153.494553 27
12 -152.123978 27
13 -150.395844 27
14 -149.434036 27
15 -148.626068 27
Frame # 10
0 -181.879272 27
1 -189.832870 27
2 -187.079163 27
3 -183.370346 27
4 -177.924576 27
5 -172.956604 27
6 -167.904083 27
7 -161.201385 27
8 -158.926163 27
9 -156.183838 27
10 -152.540054 27
11 -151.606552 27
12 -150.269989 27
13 -149.562576 27
14 -148.744644 27
15 -148.162552 27
Frame # 11
0 -184.326096 27
1 -191.684906 27
2 -186.772507 27
3 -180.599701 27
4 -174.376709 27
5 -171.189026 27
6 -168.079727 27
7 -162.345901 27
8 -159.702469 27
9 -157.655792 27
10 -153.098801 27
11 -151.889755 27
12 -150.367569 27
13 -148.637375 27
14 -147.464920 27
15 -146.306686 27
Frame # 12
0 -167.013184 27
1 -177.516876 27
2 -174.728378 27
3 -171.811386 27
4 -168.434433 27
5 -166.504974 27
6 -164.918335 27
7 -162.081787 27
8 -160.964584 27
9 -159.028900 27
10 -156.637924 27
11 -155.760162 27
12 -154.129150 28
13 -152.617081 27
14 -152.091660 27
15 -151.223785 27
Frame # 13
0 -185.360672 27
1 -185.203247 27
2 -190.757706 27
3 -185.128448 27
4 -177.570145 27
5 -170.481995 27
6 -166.059937 27
7 -160.056870 27
8 -158.634888 27
9 -156.674362 27
10 -153.285065 27
11 -152.886627 27
12 -151.928818 27
13 -151.043396 27
14 -150.615341 27
15 -148.440887 27
Frame # 14
0 -178.304596 27
1 -188.166046 27
2 -181.990295 27
3 -176.117661 27
4 -173.401413 27
5 -171.630920 27
6 -169.615372 27
7 -166.219681 27
8 -164.459595 27
9 -162.756912 27
10 -159.524490 27
11 -157.322235 27
12 -155.246475 27
13 -153.727386 27
14 -152.879501 27
15 -151.873215 27
Frame # 15
0 -187.431534 27
1 -189.925461 27
2 -196.336975 27
3 -181.566406 27
4 -173.312729 27
5 -170.481995 27
6 -167.289368 27
7 -164.546906 27
8 -162.420822 27
9 -160.892899 27
10 -157.569183 27
11 -156.137756 27
12 -155.831940 27
13 -154.560669 27
14 -153.667023 27
15 -152.986511 27
Frame # 16
0 -189.312973 27
1 -198.815216 27
2 -196.691193 27
3 -182.621002 27
4 -176.328018 27
5 -173.575256 27
6 -170.889832 27
7 -166.131638 27
8 -163.391663 27
9 -160.697067 27
10 -157.103210 27
11 -155.854553 27
12 -154.856171 27
13 -154.005356 27
