Frame # 0
2 -137.268219 27
3 -140.209824 27
4 -141.434692 27
5 -142.377960 27
6 -142.562210 27
7 -142.273071 27
8 -142.131012 27
9 -141.566757 27
10 -140.992752 27
11 -140.617950 27
12 -140.415268 27
13 -139.937897 27
14 -139.491791 27
15 -138.885284 27
Frame # 20
0 -122.884323 27
1 -132.698395 27
2 -140.810623 27
3 -143.198288 27
4 -143.740219 27
5 -144.410995 27
6 -144.318634 27
7 -143.769760 27
8 -143.684326 27
9 -143.038345 27
10 -142.482758 27
11 -141.978378 27
12 -141.683441 27
13 -141.140717 27
14 -141.066864 27
15 -140.555252 27
Frame # 21
0 -126.365746 27
1 -135.476456 27
2 -140.951263 27
3 -143.549927 27
4 -144.664444 27
5 -145.382828 27
6 -145.548386 27
7 -145.354797 27
8 -144.946442 27
9 -144.509644 27
10 -143.973114 27
11 -143.299988 27
12 -143.049530 27
13 -142.436768 27
14 -142.149734 27
15 -141.482712 27
Frame # 22
0 -126.930283 27
1 -135.198639 27
2 -142.456390 27
3 -144.868500 27
4 -145.374023 27
5 -145.824722 27
6 -145.636215 27
7 -145.090683 27
8 -145.140594 27
9 -144.117218 27
10 -143.600616 27
11 -143.111176 27
12 -142.951950 27
13 -142.436768 27
14 -142.346603 27
15 -141.946594 27
Frame # 23
0 -131.352631 27
1 -136.217270 27
2 -142.190781 27
3 -144.956406 27
4 -145.728806 27
5 -146.443375 27
6 -146.426773 27
7 -146.235214 27
8 -146.014343 27
9 -146.079330 27
10 -145.649048 27
11 -145.187988 27
12 -145.196259 27
13 -144.565460 27
14 -144.216995 27
15 -143.431290 27
Frame # 24
0 -137.468323 27
1 -134.272629 27
2 -140.367828 27
3 -143.813629 27
4 -145.158981 27
5 -146.178574 27
6 -146.514938 27
7 -146.498993 27
8 -146.305618 27
9 -145.981522 27
10 -145.555923 27
11 -145.242310 27
12 -145.099014 27
13 -144.380356 27
14 -143.823242 27
15 -142.874634 27
Frame # 25
0 -137.845291 27
1 -132.420593 27
2 -139.003448 27
3 -142.319244 27
4 -143.740219 27
5 -144.675797 27
6 -144.933502 27
7 -144.826569 27
8 -144.752258 27
9 -144.803955 27
10 -144.345627 27
11 -143.960785 27
12 -143.927750 27
13 -143.177200 27
14 -142.641937 27
15 -141.946594 27
Frame # 26
0 -131.634613 27
1 -130.938965 27
2 -139.482224 27
3 -142.546326 27
4 -143.562866 27
5 -144.499374 27
6 -144.582153 27
7 -144.386047 27
8 -144.461014 27
9 -143.725098 27
10 -143.134644 27
11 -142.733582 27
12 -142.464417 27
13 -141.881470 27
14 -141.657516 27
15 -141.019135 27
Frame # 27
0 -127.494576 27
1 -133.254013 27
2 -139.127975 27
3 -141.843262 27
4 -142.498795 27
5 -143.262085 27
6 -143.264572 27
7 -142.889359 27
8 -142.907669 27
9 -142.743729 27
10 -142.296524 27
11 -141.978378 27
12 -141.878601 27
13 -141.326172 27
14 -140.869995 27
15 -140.184143 27
Frame # 28
0 -140.949707 27
1 -131.401978 27
2 -138.737839 27
3 -142.231323 27
4 -143.422684 27
5 -144.499039 27
6 -144.669998 27
7 -144.650482 27
8 -144.558075 27
9 -144.607742 27
10 -144.159378 27
11 -143.866379 27
12 -143.927750 27
13 -143.547394 27
14 -143.331024 27
15 -142.688812 27
Frame # 29
0 -132.764297 27
1 -133.254013 27
2 -143.253235 27
3 -146.099182 27
4 -146.843796 27
5 -147.680664 27
6 -147.569000 27
7 -147.291702 27
8 -147.081909 27
9 -146.472046 27
10 -145.928772 27
11 -145.619797 27
12 -145.391403 27
13 -145.028214 27
14 -145.004532 27
15 -144.451538 27
Frame # 30
0 -135.398880 27
1 -133.531540 27
2 -139.711746 27
3 -142.758774 27
4 -143.828888 27
5 -144.852554 27
6 -145.197357 27
7 -145.178726 27
8 -144.946075 27
9 -145.000473 27
10 -144.531540 27
11 -144.204178 27
12 -144.025330 27
13 -143.547394 27
14 -143.429474 27
15 -142.689087 27
Frame # 31
0 -144.337326 27
1 -131.864700 27
2 -138.950851 27
3 -142.846664 27
4 -144.272263 27
5 -145.559586 27
6 -145.724380 27
7 -145.794693 27
8 -145.820190 27
9 -145.098572 27
10 -144.717789 27
11 -144.338379 27
12 -144.318375 27
13 -143.825043 27
14 -143.527908 27
15 -142.967407 27
Frame # 32
0 -141.231995 27
1 -130.105560 27
2 -137.711014 27
3 -141.755371 27
4 -143.208160 27
5 -144.499374 27
6 -144.933502 27
7 -144.914276 27
8 -144.849350 27
9 -144.705841 27
10 -144.159027 27
11 -143.583176 27
12 -143.342255 27
13 -142.899536 27
14 -142.445038 27
15 -141.668564 27
Frame # 33
0 -137.280121 27
1 -131.309372 27
2 -139.570770 27
3 -142.934570 27
4 -143.954865 27
5 -144.764175 27
6 -144.757828 27
7 -144.298309 27
8 -144.363922 27
9 -143.626678 27
10 -142.948730 27
11 -142.639175 27
12 -142.464066 27
13 -142.251678 27
14 -141.854401 27
15 -141.389938 27
Frame # 34
0 -139.068481 27
1 -129.920334 27
2 -136.967087 27
3 -140.473221 27
4 -142.055420 27
5 -143.261749 27
6 -143.440262 27
7 -143.593994 27
8 -143.586914 27
9 -143.234268 27
10 -142.762482 27
11 -142.411072 27
12 -141.976181 27
13 -141.418716 27
14 -140.869995 27
15 -140.276642 27
Frame # 35
0 -134.081299 27
1 -130.661163 27
2 -139.269058 27
3 -142.407150 27
4 -143.208160 27
5 -144.233917 27
6 -144.582153 27
7 -144.562454 27
8 -144.461014 27
9 -144.705841 27
10 -144.438751 27
11 -143.960785 27
12 -143.439835 27
13 -142.806976 27
14 -142.543488 27
15 -141.946594 27
Frame # 36
0 -133.422653 27
