Frame # 0
0 -156.756790 27
1 -165.941376 27
2 -164.012299 27
3 -163.855377 27
4 -163.555771 27
5 -163.281128 27
6 -163.162018 27
7 -162.873764 27
8 -163.002960 28
9 -162.462585 27
10 -161.945389 28
11 -161.990189 28
12 -161.542969 28
13 -160.761276 27
14 -159.868134 28
15 -158.459930 27
Frame # 1
0 -162.967224 27
1 -167.145187 27
2 -169.680099 27
3 -168.338547 27
4 -167.281021 27
5 -167.080414 27
6 -166.980225 27
7 -166.483398 27
8 -165.721298 28
9 -164.817108 27
10 -162.876633 28
11 -162.367798 28
12 -161.542969 28
13 -160.483612 27
14 -159.375931 28
15 -157.624939 27
Frame # 2
0 -165.695892 27
1 -169.275009 27
2 -168.617386 27
3 -168.690170 27
4 -168.167969 27
5 -167.522186 27
6 -167.155914 27
7 -166.043594 27
8 -165.721298 28
9 -165.405396 27
10 -164.460175 27
11 -163.783783 28
12 -162.908661 28
13 -161.594223 27
14 -160.557220 28
15 -159.016586 27
Frame # 3
0 -162.590485 27
1 -168.904953 27
2 -167.820358 27
3 -167.547058 27
4 -166.926239 27
5 -166.550278 27
6 -165.838333 27
7 -166.307709 27
8 -166.012909 27
9 -165.307281 27
10 -165.111633 28
11 -165.294571 27
12 -164.274368 28
13 -163.167206 28
14 -161.148239 27
15 -159.202133 27
Frame # 4
0 -160.331940 27
1 -166.404373 27
2 -166.226654 27
3 -165.701050 27
4 -164.797516 27
5 -164.207138 27
6 -163.027512 27
7 -161.553162 27
8 -161.449982 27
9 -160.794785 27
10 -159.803497 28
11 -159.158554 27
12 -158.128723 28
13 -157.336517 28
14 -157.210220 28
15 -156.048111 27
Frame # 5
0 -162.590866 27
1 -166.219162 27
2 -166.226288 27
3 -163.679581 27
4 -163.023605 27
5 -163.016052 27
6 -162.851837 27
7 -161.729630 27
8 -161.449631 28
9 -160.107712 27
10 -158.872604 27
11 -158.592163 27
12 -158.323822 28
13 -157.707077 27
14 -157.210587 27
15 -155.955002 27
Frame # 6
0 -159.485107 27
1 -166.404709 27
2 -166.580902 27
3 -167.283340 27
4 -166.127975 27
5 -165.313309 27
6 -164.784271 27
7 -164.018280 27
8 -162.712082 27
9 -161.088776 27
10 -160.175995 28
11 -159.064163 27
12 -158.421371 28
13 -157.614151 28
14 -157.013702 27
15 -154.470596 27
Frame # 7
0 -166.448242 27
1 -167.700790 27
2 -171.628799 27
3 -172.294296 27
4 -170.030197 27
5 -169.466019 27
6 -168.736984 27
7 -166.659485 27
8 -165.138794 28
9 -162.855011 27
10 -161.852249 28
11 -160.763000 28
12 -159.494415 28
13 -157.984360 28
14 -156.422699 28
15 -154.749237 27
Frame # 8
0 -166.542725 27
1 -170.756622 27
2 -172.514023 27
3 -171.503143 27
4 -169.764496 27
5 -168.140686 27
6 -167.640640 27
7 -167.275757 27
8 -165.818359 28
9 -163.443649 27
10 -160.827881 28
11 -159.630203 28
12 -159.104202 28
13 -158.169846 27
14 -156.127380 28
15 -155.398346 27
Frame # 9
0 -169.082809 27
1 -174.738831 27
2 -174.639435 27
3 -172.645554 27
4 -171.893219 27
5 -168.494110 27
6 -167.595093 27
