Frame # 0
0 -165.131699 27
1 -193.444778 27
2 -184.511581 27
3 -173.262024 27
4 -164.312531 27
5 -161.556122 27
6 -158.548477 27
7 -154.334579 27
8 -152.615692 27
9 -151.671661 27
10 -148.908463 27
11 -147.696045 27
12 -146.562332 27
13 -145.028214 27
14 -143.724457 27
15 -141.761047 27
Frame # 1
0 -157.416138 27
1 -191.500153 27
2 -180.350342 27
3 -174.492706 27
4 -164.844574 27
5 -160.937134 27
6 -158.197113 27
7 -154.070465 27
8 -152.421539 27
9 -150.494080 27
10 -147.605042 27
11 -146.186050 27
12 -145.488983 27
13 -144.195251 27
14 -143.330673 27
15 -141.575485 27
Frame # 2
0 -159.297638 27
1 -190.204117 27
2 -181.589859 27
3 -172.953873 27
4 -164.312531 27
5 -161.202606 27
6 -158.724152 27
7 -154.598694 27
8 -152.809875 27
9 -151.475143 27
10 -148.442825 27
11 -147.170395 27
12 -145.878983 27
13 -144.287460 27
14 -142.937256 27
15 -141.482712 27
Frame # 3
0 -161.085388 27
1 -191.685760 27
2 -183.626221 27
3 -176.381317 27
4 -163.957825 27
5 -161.467743 27
6 -158.946854 27
7 -154.686752 27
8 -153.101501 27
9 -151.082703 27
10 -148.163437 27
11 -146.981598 27
12 -146.172028 27
13 -144.750229 27
14 -143.626343 27
15 -142.132141 27
Frame # 4
0 -161.085388 27
1 -192.055771 27
2 -181.589859 27
3 -174.623657 27
4 -164.578552 27
5 -161.202606 27
6 -158.460632 27
7 -154.334579 27
8 -152.713135 27
9 -150.788391 27
10 -148.070328 27
11 -146.604004 27
12 -145.586563 27
13 -143.917267 27
14 -142.838821 27
15 -141.575485 27
Frame # 5
0 -171.153229 27
1 -191.685364 27
2 -187.481812 27
3 -175.414597 27
4 -161.829666 27
5 -160.318817 27
6 -157.845764 27
7 -153.894394 27
8 -152.033203 27
9 -150.298187 27
10 -147.604691 27
11 -146.186050 27
12 -144.903519 27
13 -143.732162 27
14 -142.543152 27
15 -141.389938 27
Frame # 6
0 -165.320236 27
1 -193.352188 27
2 -185.574020 27
3 -174.492706 27
4 -164.844574 27
5 -162.616669 27
6 -159.866043 27
7 -155.303040 27
8 -153.489441 27
9 -151.475143 27
10 -148.536316 27
11 -147.318542 27
12 -146.367172 27
13 -145.120773 27
14 -144.610764 27
15 -143.152679 27
Frame # 7
0 -173.975998 27
1 -194.741608 27
2 -190.532120 27
3 -179.457214 27
4 -165.731293 27
5 -162.881805 27
6 -160.439728 27
7 -156.007339 27
8 -154.460281 27
9 -152.456192 27
10 -149.653473 27
11 -148.545410 27
12 -147.635406 27
13 -146.416138 27
14 -145.299850 27
15 -143.709335 27
Frame # 8
0 -162.684952 27
1 -193.074783 27
2 -184.245972 27
3 -176.381317 27
4 -164.667221 27
