Frame # 0
2 -226.626404 27
3 -226.270660 27
4 -224.492050 27
5 -223.687805 27
6 -222.145035 27
7 -221.158630 27
8 -221.158371 27
9 -220.837296 27
10 -219.965103 27
11 -219.104599 27
12 -216.856323 27
13 -215.924088 27
14 -214.603729 27
15 -213.570694 27
Frame # 20
0 -217.353790 27
1 -228.542831 27
2 -226.980652 27
3 -226.621750 27
4 -224.049042 27
5 -222.980774 27
6 -221.705338 27
7 -219.661972 27
8 -220.284622 27
9 -220.248672 27
10 -220.151352 27
11 -219.233826 27
12 -218.514160 27
13 -216.849152 27
14 -214.997940 27
15 -213.199600 27
Frame # 21
0 -217.636063 27
1 -226.875473 27
2 -225.475128 27
3 -225.303680 27
4 -223.605072 27
5 -222.980270 27
6 -222.408569 27
7 -221.598877 27
8 -220.770020 27
9 -220.641083 27
10 -219.220093 27
11 -218.538208 27
12 -217.929382 27
13 -216.757050 27
14 -215.194382 27
15 -213.477921 27
Frame # 22
0 -219.141571 27
1 -225.764740 27
2 -225.740814 27
3 -225.039459 27
4 -224.137726 27
5 -223.069153 27
6 -222.144531 27
7 -221.422775 27
8 -221.352966 27
9 -220.248672 27
10 -219.965103 27
11 -220.271957 27
12 -220.075500 27
13 -220.366150 27
14 -219.525833 27
15 -217.652863 27
Frame # 23
0 -223.564392 27
1 -229.468323 27
2 -230.257385 27
3 -229.786911 27
4 -227.862549 27
5 -226.780563 27
6 -225.307251 27
7 -224.856354 27
8 -224.362167 27
9 -223.486160 27
10 -222.479507 27
11 -222.314224 27
12 -222.026535 27
13 -221.662323 27
14 -220.411819 27
15 -218.766174 27
Frame # 24
0 -223.563904 27
1 -229.005829 27
2 -230.345947 27
3 -227.412933 27
4 -225.645599 27
5 -224.041336 27
6 -223.286423 27
7 -222.919449 27
8 -222.905884 27
9 -221.818359 27
10 -221.268875 27
11 -220.838211 27
12 -219.490219 27
13 -217.867233 27
14 -216.080811 27
15 -214.312912 27
Frame # 25
0 -224.975296 27
1 -233.820633 27
2 -232.117157 27
3 -231.105499 27
4 -228.838211 27
5 -226.781082 27
6 -226.185654 27
7 -224.680298 27
8 -224.265076 27
9 -223.878601 27
10 -223.783279 27
11 -221.936630 27
12 -220.953461 27
13 -220.181473 27
14 -218.836731 27
15 -217.188965 27
Frame # 26
0 -220.742096 27
1 -229.005325 27
2 -227.423462 27
3 -226.886002 27
