Frame # 0
0 -275.785889 27
1 -159.461029 27
2 -170.302307 27
3 -177.218994 27
4 -181.030914 27
5 -184.447433 27
6 -186.307114 27
7 -189.111771 27
8 -190.091354 27
9 -191.013412 27
10 -192.400024 27
11 -192.861115 27
12 -193.541580 27
13 -194.174332 27
14 -194.816864 27
15 -195.386581 27
Frame # 1
0 -267.787415 27
1 -161.128250 27
2 -174.553223 27
3 -180.911057 27
4 -184.224014 27
5 -187.099213 27
6 -188.502686 27
7 -190.696503 27
8 -191.742172 27
9 -192.485016 27
10 -194.355270 27
11 -195.073761 27
12 -196.426514 27
13 -197.413681 27
14 -198.262344 27
15 -198.819778 27
Frame # 2
0 -278.044739 27
1 -160.294815 27
2 -169.947662 27
3 -176.515732 27
4 -180.144348 27
5 -183.210114 27
6 -184.989120 27
7 -187.439392 27
8 -188.441299 27
9 -189.443283 27
10 -190.630203 27
11 -191.110001 27
12 -191.883224 27
13 -192.693527 27
14 -193.439087 27
15 -193.716614 27
Frame # 3
0 -263.365631 27
1 -158.812820 27
2 -171.010803 27
3 -177.746429 27
4 -181.474411 27
5 -184.800934 27
6 -186.307114 27
7 -188.760010 27
8 -189.897171 27
9 -190.620972 27
10 -191.748108 27
11 -192.294708 27
12 -192.663620 27
13 -193.248825 27
14 -193.734421 27
15 -194.180496 27
Frame # 4
0 -270.516083 27
1 -159.276199 27
2 -171.984985 27
3 -178.801300 27
4 -182.538773 27
5 -185.596756 27
6 -187.360764 27
7 -189.816101 27
8 -190.868423 27
9 -191.405838 27
10 -192.772125 27
11 -193.186249 27
12 -194.182190 27
13 -194.822220 27
14 -195.505966 27
15 -195.758148 27
Frame # 5
0 -275.597687 27
1 -158.720581 27
2 -169.593414 27
3 -176.691132 27
4 -180.853531 27
5 -184.271072 27
6 -186.218872 27
7 -188.848053 27
8 -190.091736 27
9 -190.522430 27
10 -192.120239 27
11 -192.808762 27
12 -194.029327 27
13 -195.006912 27
14 -195.900146 27
15 -196.685913 27
Frame # 6
0 -254.709671 27
1 -158.813187 27
2 -171.630310 27
3 -178.537582 27
4 -182.095291 27
5 -185.154465 27
6 -186.658051 27
7 -188.760010 27
8 -189.994644 27
9 -190.228134 27
10 -191.748108 27
11 -192.336868 27
12 -193.346466 27
13 -194.266907 27
14 -195.112595 27
15 -195.201035 27
Frame # 7
0 -255.555939 27
1 -157.516388 27
2 -168.619659 27
3 -175.548767 27
4 -179.345673 27
5 -182.503082 27
6 -184.374634 27
7 -187.086838 27
8 -187.955490 27
9 -188.658844 27
10 -189.792450 27
11 -190.354996 27
12 -191.005264 27
13 -192.230759 27
14 -193.537521 27
15 -194.366043 27
Frame # 8
0 -256.025848 27
1 -159.275833 27
2 -173.047699 27
3 -179.592468 27
4 -183.070969 27
5 -185.861893 27
6 -187.448608 27
7 -189.640015 27
8 -190.674240 27
9 -191.111511 27
10 -192.399628 27
11 -192.766724 27
12 -193.694305 27
13 -194.081802 27
14 -194.521942 27
15 -194.551590 27
Frame # 9
0 -267.599213 27
1 -159.924423 27
2 -171.542175 27
3 -178.273453 27
4 -181.740509 27
5 -185.066483 27
6 -186.921585 27
7 -189.375900 27
8 -190.285919 27
9 -191.013412 27
10 -192.399628 27
11 -192.997513 27
12 -193.694305 27
13 -194.544556 27
14 -195.407516 27
15 -196.036469 27
Frame # 10
0 -251.979874 27
1 -160.202225 27
2 -172.604889 27
3 -179.767853 27
4 -183.603134 27
5 -187.010834 27
6 -188.941864 27
7 -191.576920 27
8 -192.421768 27
9 -193.269867 27
10 -194.448410 27
11 -194.979370 27
12 -195.548294 27
13 -196.580719 27
14 -197.672104 27
15 -198.819778 27
Frame # 11
0 -264.682343 27
1 -159.739212 27
2 -171.719299 27
3 -178.976700 27
4 -183.159653 27
5 -186.215424 27
6 -188.151321 27
7 -190.520432 27
8 -191.645081 27
9 -191.798279 27
10 -193.237747 27
