Frame # 0
0 -174.259033 26
1 -178.907120 26
2 -190.050507 26
3 -193.744492 26
4 -195.133759 26
5 -196.112137 26
6 -195.967682 26
7 -196.066116 26
8 -195.724396 27
9 -195.134766 26
10 -194.450546 27
11 -194.184875 27
12 -193.891205 27
13 -193.343109 27
14 -192.948593 27
15 -192.233490 26
Frame # 1
0 -174.917679 26
1 -179.740555 26
2 -189.607697 26
3 -193.568680 26
4 -195.133347 26
5 -196.023788 26
6 -196.143799 26
7 -195.977646 26
8 -195.724396 27
9 -195.527176 26
10 -195.009293 27
11 -194.656479 26
12 -194.476669 27
13 -193.805878 27
14 -192.948593 27
15 -191.769623 26
Frame # 2
0 -176.234558 26
1 -180.018326 26
2 -189.164902 26
3 -193.040802 26
4 -194.601593 26
5 -195.493958 26
6 -195.528488 26
7 -195.713501 26
8 -195.433121 27
9 -195.036652 26
10 -194.264282 27
11 -193.807251 27
12 -193.500473 27
13 -192.735641 26
14 -191.964157 27
15 -191.027405 26
Frame # 3
0 -181.598221 26
1 -178.444092 26
2 -188.367844 26
3 -192.601715 26
4 -194.335495 26
5 -195.581879 26
6 -195.792435 26
7 -196.065659 26
8 -195.723984 26
9 -195.625290 26
10 -195.009293 27
11 -194.656479 26
12 -194.379089 27
13 -193.528214 27
14 -192.850143 27
15 -191.862396 26
Frame # 4
0 -179.904572 26
1 -178.629318 26
2 -188.899216 26
3 -193.304947 26
4 -194.867691 26
5 -196.023788 26
6 -195.967682 26
7 -196.153717 26
8 -195.918564 27
9 -195.821060 26
10 -195.288696 27
11 -194.940079 27
12 -194.671814 27
13 -193.845978 26
14 -193.047043 27
15 -191.955170 26
Frame # 5
0 -179.151840 26
1 -180.573532 26
2 -192.087402 26
3 -196.205841 26
4 -197.882950 26
5 -198.940262 26
6 -199.042480 26
7 -199.147064 26
8 -198.927795 26
9 -198.372284 26
10 -197.430618 27
11 -196.922119 26
12 -196.525833 27
13 -195.934601 27
14 -195.015900 27
15 -194.089020 26
Frame # 6
0 -178.680969 26
1 -181.685181 26
2 -190.581863 26
3 -194.447281 26
4 -195.931610 26
5 -196.996399 26
6 -197.021744 26
7 -197.034119 26
8 -196.792313 27
9 -196.213943 26
10 -195.474930 27
11 -195.128876 27
12 -194.671814 27
13 -194.123581 26
14 -193.834564 27
15 -193.068481 26
Frame # 7
0 -176.329056 26
1 -179.555328 26
2 -189.076340 26
3 -193.217041 26
4 -195.044632 26
5 -196.112137 26
6 -196.143799 26
7 -195.978073 26
8 -195.918152 26
9 -195.232849 26
10 -194.729507 27
11 -194.184875 27
12 -193.988785 27
13 -193.065460 27
14 -192.357941 27
15 -191.305725 26
Frame # 8
0 -179.715973 26
1 -177.332886 26
2 -187.305130 26
3 -191.898026 26
4 -193.892029 26
5 -195.140457 26
6 -195.089294 26
7 -195.009186 26
8 -194.850616 27
9 -194.055588 26
10 -193.426117 27
11 -193.146439 27
12 -192.817413 27
13 -192.087952 26
14 -191.373505 27
15 -190.285187 26
Frame # 9
0 -186.585114 26
1 -178.444092 26
2 -189.961945 26
3 -194.711456 26
4 -196.730316 26
5 -198.233231 26
6 -198.339767 26
7 -198.706879 26
8 -198.539459 26
9 -198.372284 26
10 -197.616882 27
11 -197.205734 27
12 -196.721024 27
13 -196.027145 27
14 -195.409668 27
15 -194.367371 26
Frame # 10
0 -180.468704 26
1 -181.777771 26
2 -193.681488 26
3 -197.523987 26
4 -199.036011 26
5 -199.824524 26
6 -200.008698 26
7 -199.851395 26
8 -199.607803 27
9 -199.353363 26
10 -198.548141 27
11 -198.149765 27
12 -197.598831 27
13 -196.991928 26
14 -196.394104 27
15 -195.480682 26
Frame # 11
0 -181.222260 26
1 -181.407379 26
2 -189.873383 26
3 -194.184006 26
