Frame # 0
0 -190.254303 27
1 -119.733894 27
2 -128.145950 27
3 -133.142838 27
4 -136.025589 27
5 -138.223877 27
6 -139.627350 27
7 -141.040497 27
8 -141.353989 27
9 -141.958893 27
10 -142.296524 27
11 -142.411072 27
12 -142.658905 27
13 -142.528992 27
14 -142.346268 27
15 -141.668274 27
Frame # 1
0 -182.350174 27
1 -120.845116 27
2 -131.389252 27
3 -136.218750 27
4 -138.809830 27
5 -140.963898 27
6 -141.859161 27
7 -143.153183 27
8 -143.586914 27
9 -143.626678 27
10 -143.599976 27
11 -143.543564 27
12 -143.537415 27
13 -143.269394 27
14 -143.330673 27
15 -142.874359 27
Frame # 2
0 -186.396515 27
1 -122.604256 27
2 -131.389252 27
3 -136.077942 27
4 -138.543732 27
5 -140.610092 27
6 -141.507813 27
7 -142.801300 27
8 -143.198578 27
9 -143.626678 27
10 -143.972778 27
11 -143.865738 27
12 -144.025009 27
13 -143.732498 27
14 -143.527542 27
15 -142.874008 27
Frame # 3
0 -190.159805 27
1 -121.585938 27
2 -129.972641 27
3 -134.812622 27
4 -137.355698 27
5 -139.196335 27
6 -139.978622 27
7 -141.040497 27
8 -141.548157 27
9 -141.468353 27
10 -141.737762 27
11 -141.750443 27
12 -142.073441 27
13 -142.066223 27
14 -142.247818 27
15 -141.761047 27
Frame # 4
0 -181.785614 27
1 -121.215523 27
2 -130.858017 27
3 -135.427795 27
4 -137.834167 27
5 -139.814972 27
6 -140.805099 27
7 -142.096695 27
8 -142.421921 27
9 -142.939941 27
10 -143.134369 27
11 -142.977310 27
12 -142.854370 27
13 -142.436432 27
14 -142.050949 27
15 -141.668274 27
Frame # 5
0 -183.009201 27
1 -122.882362 27
2 -130.415344 27
3 -134.847260 27
4 -137.213287 27
5 -139.284409 27
6 -140.278061 27
7 -141.568741 27
8 -141.644928 27
9 -142.253204 27
10 -142.482758 27
11 -142.505447 27
12 -142.658905 27
13 -142.714432 27
14 -142.740021 27
15 -142.317352 27
Frame # 6
0 -188.654327 27
1 -120.845116 27
2 -128.998734 27
3 -133.933792 27
4 -136.503708 27
5 -138.577682 27
6 -139.487518 27
7 -140.600006 27
8 -141.159805 27
9 -141.174042 27
10 -141.458374 27
11 -141.467331 27
12 -141.683136 27
13 -141.788925 27
14 -141.657166 27
15 -141.296814 27
Frame # 7
0 -178.962433 27
1 -120.567307 27
2 -130.061188 27
3 -134.812622 27
4 -137.035904 27
5 -138.931198 27
6 -139.802979 27
7 -140.776077 27
8 -141.159805 27
9 -141.174042 27
10 -141.271835 27
11 -141.089828 27
12 -141.195557 27
13 -140.955612 27
14 -140.672760 27
15 -140.462189 27
Frame # 8
0 -169.554031 27
1 -120.659912 27
2 -129.120117 27
3 -133.230728 27
4 -135.261963 27
5 -136.986572 27
6 -137.555069 27
7 -138.663437 27
8 -139.023972 27
9 -139.211929 27
10 -139.595856 27
11 -139.579834 27
12 -139.731567 27
13 -139.752777 27
14 -139.786789 27
15 -139.441315 27
Frame # 9
0 -183.761108 27
1 -120.937721 27
2 -129.087265 27
3 -133.670135 27
4 -135.794128 27
5 -137.693893 27
6 -138.521301 27
7 -139.719604 27
8 -140.188995 27
9 -139.898666 27
10 -140.061203 27
11 -140.089737 27
12 -140.414917 27
13 -140.492874 27
14 -140.771194 27
15 -140.554962 27
Frame # 10
0 -187.337448 27
1 -120.659912 27
2 -129.529968 27
3 -134.461090 27
4 -137.089691 27
5 -139.019287 27
6 -140.154251 27
7 -141.304611 27
8 -141.645218 27
9 -142.056992 27
10 -142.203384 27
11 -142.316696 27
12 -142.463760 27
13 -142.251343 27
14 -142.346268 27
15 -141.853821 27
Frame # 11
0 -185.266586 27
1 -120.937721 27
2 -130.592407 27
3 -135.339920 27
4 -137.479385 27
5 -139.373077 27
6 -140.329865 27
7 -141.480408 27
8 -141.936493 27
9 -142.351303 27
10 -142.575592 27
11 -142.694183 27
12 -142.854065 27
13 -142.899185 27
14 -142.838470 27
15 -142.224930 27
Frame # 12
0 -184.420578 27
1 -122.048943 27
2 -131.566330 27
3 -136.218750 27
4 -138.366333 27
5 -140.168198 27
6 -140.944595 27
7 -141.832886 27
8 -142.324829 27
9 -142.056992 27
10 -142.110260 27
11 -142.222321 27
12 -142.463760 27
13 -142.621536 27
14 -142.740021 27
15 -142.224579 27
Frame # 13
0 -171.247314 27
1 -122.604553 27
2 -129.972641 27
3 -134.373199 27
4 -136.592422 27
5 -138.400909 27
6 -139.136169 27
7 -140.071762 27
8 -140.480225 27
9 -140.094879 27
10 -140.247452 27
11 -140.278534 27
12 -140.317337 27
13 -140.400299 27
14 -140.180542 27
15 -139.905533 27
Frame # 14
0 -169.554031 27
1 -121.956337 27
2 -130.891312 27
3 -135.023071 27
4 -137.035904 27
5 -138.577393 27
6 -139.223999 27
7 -139.984024 27
8 -140.382843 27
9 -140.192978 27
10 -140.340866 27
11 -140.240463 27
12 -140.414627 27
13 -140.307755 27
14 -140.180542 27
15 -139.905197 27
Frame # 15
0 -175.575546 27
1 -121.400734 27
2 -128.644592 27
3 -132.791306 27
4 -134.907181 27
5 -136.721725 27
6 -137.783218 27
7 -138.927246 27
8 -139.218155 27
9 -139.800568 27
10 -140.061203 27
11 -140.146088 27
12 -140.219757 27
13 -140.215210 27
14 -140.180542 27
15 -139.627213 27
Frame # 16
0 -183.667847 27
1 -119.085686 27
2 -126.906120 27
3 -131.682648 27
4 -134.197601 27
5 -136.191177 27
6 -137.115891 27
7 -138.311264 27
8 -138.732727 27
9 -138.819183 27
10 -138.943970 27
11 -139.107956 27
12 -139.243683 27
13 -139.382584 27
14 -139.294586 27
15 -138.884674 27
Frame # 17
0 -185.078842 27
1 -118.437469 27
2 -127.847755 27
3 -132.527664 27
4 -134.552399 27
5 -136.368210 27
6 -137.256317 27
7 -138.487045 27
8 -138.926880 27
9 -139.113831 27
10 -139.409317 27
11 -139.579834 27
12 -139.927032 27
13 -140.030106 27
14 -140.574310 27
15 -140.369415 27
Frame # 18
0 -181.785614 27
1 -120.382103 27
2 -129.707031 27
3 -134.285324 27
4 -136.592422 27
5 -138.400909 27
6 -139.451721 27
7 -140.600006 27
8 -141.062744 27
9 -141.272156 27
10 -141.551224 27
11 -141.467331 27
12 -141.683441 27
13 -141.696030 27
14 -141.755615 27
15 -141.297165 27
Frame # 19
0 -158.921280 27
1 -123.530571 27
2 -134.222427 27
3 -137.976410 27
4 -139.749878 27
5 -141.229034 27
6 -141.998383 27
7 -142.537186 27
8 -142.713150 27
9 -142.547180 27
