Frame # 0
0 -227.515793 26
1 -271.510956 27
2 -261.166199 27
3 -237.435257 27
4 -228.839722 27
5 -225.720551 26
6 -221.354477 26
7 -214.731674 26
8 -212.130447 27
9 -209.261688 27
10 -205.159332 27
11 -203.151733 27
12 -201.598679 27
13 -199.727936 27
14 -197.771423 27
15 -195.665787 27
Frame # 1
0 -229.022293 27
1 -273.733398 27
2 -258.243134 26
3 -245.874283 27
4 -229.194000 27
5 -225.455399 26
6 -221.881531 26
7 -215.435974 26
8 -212.810043 27
9 -210.047012 27
10 -205.717651 27
11 -203.529327 27
12 -201.696243 27
13 -200.006042 27
14 -198.263214 27
15 -196.222458 27
Frame # 2
0 -230.998245 27
1 -271.788177 26
2 -258.332245 27
3 -238.578064 27
4 -225.291809 27
5 -222.362137 26
6 -218.367966 26
7 -212.178482 26
8 -209.800858 27
9 -207.005234 27
10 -202.458191 27
11 -200.697723 27
12 -198.964035 27
13 -196.951355 27
14 -194.916595 27
15 -192.975281 27
Frame # 3
0 -231.562286 26
1 -270.121918 27
2 -260.634827 27
3 -238.929169 26
4 -227.509247 27
5 -224.571609 26
6 -220.915298 26
7 -214.467529 26
8 -211.742111 27
9 -209.654099 27
10 -205.345139 27
11 -203.246124 27
12 -201.403519 27
13 -199.265610 27
14 -197.180344 27
15 -195.201920 27
Frame # 4
0 -246.711777 27
1 -276.696716 27
2 -271.350708 27
3 -243.588715 27
4 -233.007996 27
5 -229.785995 26
6 -225.395096 26
7 -218.077209 26
8 -215.625961 27
9 -212.106781 27
10 -207.859573 27
11 -205.983749 27
12 -204.623611 27
13 -202.504501 27
14 -200.822723 27
15 -198.078445 27
Frame # 5
0 -231.185928 26
1 -277.159698 27
2 -259.572083 27
3 -243.324493 26
4 -228.396255 27
5 -225.278641 26
6 -221.530167 26
7 -214.467529 26
8 -212.033371 27
9 -209.359772 27
10 -204.973068 27
11 -202.962921 27
12 -201.305939 27
13 -199.265610 27
14 -197.475662 27
15 -195.016373 27
Frame # 6
0 -242.759857 27
1 -274.011200 27
2 -268.339050 26
3 -236.556213 27
4 -228.129639 27
5 -225.013489 26
6 -220.739609 26
7 -214.115387 26
8 -211.451309 27
9 -208.869247 27
10 -204.413849 27
11 -202.207703 27
12 -200.427719 27
13 -198.154541 27
14 -196.294357 27
15 -194.367371 27
Frame # 7
0 -232.597305 26
1 -274.751465 26
2 -259.394958 27
3 -238.578064 27
4 -227.864059 27
5 -224.041336 26
6 -219.949539 27
7 -212.970840 26
8 -210.577545 27
9 -207.593857 27
10 -203.575729 27
11 -201.452942 27
12 -199.744675 27
13 -197.969437 27
14 -195.901031 27
