X,NACA 0012-Re=   7e+04-Alpha= 8.00-NCrit=  1.0-XTrTop=0.010-XtrBot=1.000, , 
            1,    0.08688272, , 
    0.9928006,    0.08135757, , 
    0.9798895,    0.07073165, , 
    0.9635184,    0.05657919, , 
    0.9445469,    0.03936637, , 
    0.9234998,    0.01940793, , 
    0.9007495,  -0.002998469, , 
     0.876583,   -0.02754574, , 
    0.8512328,   -0.05392267, , 
    0.8248944,   -0.08183429, , 
    0.7977362,    -0.1110234, , 
    0.7699063,     -0.141287, , 
    0.7415373,    -0.1724845, , 
    0.7127487,    -0.2045378, , 
      0.68365,    -0.2374262, , 
    0.6543419,    -0.2711776, , 
    0.6249182,    -0.3058597, , 
    0.5954661,    -0.3415721, , 
    0.5660677,    -0.3784428, , 
    0.5368005,    -0.4166283, , 
    0.5077378,    -0.4563241, , 
    0.4789491,    -0.4977972, , 
    0.4505011,    -0.5412026, , 
    0.4224571,    -0.5850602, , 
    0.3948782,     -0.630395, , 
    0.3678229,    -0.6777848, , 
    0.3413476,    -0.7273486, , 
    0.3155065,    -0.7792651, , 
    0.2903524,    -0.8337667, , 
    0.2659361,     -0.891148, , 
    0.2423068,     -0.951783, , 
    0.2195125,     -1.016151, , 
    0.1975998,     -1.084879, , 
    0.1766138,     -1.158802, , 
    0.1565988,     -1.238413, , 
    0.1375977,     -1.324434, , 
    0.1196525,     -1.419115, , 
    0.1028043,     -1.524471, , 
   0.08709309,     -1.643386, , 
   0.07255816,     -1.780134, , 
   0.05923792,     -1.941162, , 
   0.04717001,     -2.135379, , 
   0.03639132,     -2.370726, , 
   0.02693808,     -2.643127, , 
   0.01884581,     -2.925742, , 
   0.01214942,     -3.197487, , 
  0.006883198,     -3.436767, , 
  0.003080868,     -3.481319, , 
 0.0007755917,     -2.987654, , 
            0,     -1.830177, , 
 0.0007755917,     -0.498199, , 
  0.003080868,     0.4362179, , 
  0.006883198,     0.8741698, , 
   0.01214942,     0.9961965, , 
   0.01884581,     0.9760895, , 
   0.02693808,     0.8986368, , 
   0.03639132,     0.8074086, , 
   0.04717001,     0.7131322, , 
   0.05923792,     0.6278045, , 
   0.07255816,     0.5489589, , 
   0.08709309,     0.4795191, , 
    0.1028043,     0.4178436, , 
    0.1196525,     0.3635471, , 
    0.1375977,     0.3158261, , 
    0.1565988,     0.2739722, , 
    0.1766138,     0.2373438, , 
    0.1975998,     0.2053695, , 
    0.2195125,     0.1775416, , 
    0.2423068,     0.1534085, , 
    0.2659361,     0.1325659, , 
    0.2903524,     0.1146499, , 
    0.3155065,    0.09933172, , 
    0.3413476,    0.08631281, , 
    0.3678229,     0.0753222, , 
    0.3948782,    0.06611404, , 
    0.4224571,    0.05846616, , 
    0.4505011,    0.05217908, , 
    0.4789491,    0.04707538, , 
    0.5077378,    0.04299938, , 
    0.5368005,    0.03981692, , 
    0.5660677,    0.03741522, , 
    0.5954661,    0.03570285, , 
    0.6249182,    0.03460965, , 
    0.6543419,    0.03408664, , 
      0.68365,     0.0341057, , 
    0.7127487,    0.03465903, , 
    0.7415373,    0.03575796, , 
    0.7699063,    0.03743089, , 
    0.7977362,    0.03971953, , 
    0.8248944,    0.04267255, , 
    0.8512328,    0.04633516, , 
     0.876583,    0.05073293, , 
    0.9007495,    0.05584841, , 
    0.9234998,    0.06159141, , 
    0.9445469,    0.06776406, , 
    0.9635184,    0.07404353, , 
    0.9798895,    0.07991978, , 
    0.9928006,    0.08486925, , 
            1,    0.08688272, , 

