X,NACA 0012-Re=   7e+04-Alpha= 4.00-NCrit=  1.0-XTrTop=0.010-XtrBot=0.896, , 
            1,     0.1200819, , 
    0.9928006,      0.111886, , 
    0.9798895,    0.09608968, , 
    0.9635184,    0.07637502, , 
    0.9445469,    0.05402254, , 
    0.9234998,    0.02998482, , 
    0.9007495,   0.004968921, , 
     0.876583,   -0.02051268, , 
    0.8512328,   -0.04611938, , 
    0.8248944,   -0.07166802, , 
    0.7977362,   -0.09710375, , 
    0.7699063,    -0.1224735, , 
    0.7415373,     -0.147917, , 
    0.7127487,    -0.1736109, , 
      0.68365,    -0.1984706, , 
    0.6543419,    -0.2236061, , 
    0.6249182,    -0.2490676, , 
    0.5954661,    -0.2749261, , 
    0.5660677,    -0.3012553, , 
    0.5368005,     -0.328122, , 
    0.5077378,    -0.3555844, , 
    0.4789491,    -0.3836908, , 
    0.4505011,    -0.4124811, , 
    0.4224571,     -0.441989, , 
    0.3948782,    -0.4722457, , 
    0.3678229,    -0.5032859, , 
    0.3413476,    -0.5351583, , 
    0.3155065,    -0.5679469, , 
    0.2903524,    -0.6014537, , 
    0.2659361,    -0.6355233, , 
    0.2423068,    -0.6705637, , 
    0.2195125,    -0.7066243, , 
    0.1975998,    -0.7438066, , 
    0.1766138,    -0.7822581, , 
    0.1565988,    -0.8221766, , 
    0.1375977,    -0.8638247, , 
    0.1196525,    -0.9075656, , 
    0.1028043,    -0.9539596, , 
   0.08709309,     -1.003996, , 
   0.07255816,     -1.059488, , 
   0.05923792,     -1.123074, , 
   0.04717001,     -1.195549, , 
   0.03639132,     -1.266869, , 
   0.02693808,     -1.327685, , 
   0.01884581,      -1.37549, , 
   0.01214942,     -1.388272, , 
  0.006883198,     -1.313294, , 
  0.003080868,     -1.059935, , 
 0.0007755917,    -0.4984212, , 
            0,     0.2442613, , 
 0.0007755917,     0.8095265, , 
  0.003080868,     0.9978308, , 
  0.006883198,      0.938353, , 
   0.01214942,     0.7880116, , 
   0.01884581,     0.6361877, , 
   0.02693808,      0.496398, , 
   0.03639132,     0.3842438, , 
   0.04717001,     0.2893992, , 
   0.05923792,     0.2127083, , 
   0.07255816,     0.1494558, , 
   0.08709309,    0.09733514, , 
    0.1028043,    0.05428931, , 
    0.1196525,    0.01873987, , 
    0.1375977,   -0.01053547, , 
    0.1565988,   -0.03449689, , 
    0.1766138,     -0.053912, , 
    0.1975998,   -0.06940665, , 
    0.2195125,   -0.08150149, , 
    0.2423068,   -0.09063815, , 
    0.2659361,   -0.09719772, , 
    0.2903524,    -0.1015137, , 
    0.3155065,    -0.1038812, , 
    0.3413476,    -0.1045627, , 
    0.3678229,    -0.1037926, , 
    0.3948782,    -0.1017796, , 
    0.4224571,   -0.09870882, , 
    0.4505011,   -0.09474279, , 
    0.4789491,   -0.09002222, , 
    0.5077378,   -0.08466674, , 
    0.5368005,    -0.0787755, , 
    0.5660677,   -0.07242805, , 
    0.5954661,   -0.06568556, , 
    0.6249182,   -0.05859259, , 
    0.6543419,   -0.05117987, , 
      0.68365,   -0.04346834, , 
    0.7127487,   -0.03547507, , 
    0.7415373,   -0.02722139, , 
    0.7699063,   -0.01874339, , 
    0.7977362,   -0.01010453, , 
    0.8248944,  -0.001408347, , 
    0.8512328,   0.007191399, , 
     0.876583,    0.01548467, , 
    0.9007495,    0.02497621, , 
    0.9234998,    0.04207582, , 
    0.9445469,    0.06039798, , 
    0.9635184,    0.07931934, , 
    0.9798895,    0.09708087, , 
    0.9928006,      0.111988, , 
            1,     0.1200819, , 

