c_p,Points_0,Points_1,Points_2
-0.245575,-17.5492,0.306481,0
-0.460519,-17.5472,0.397851,0
-0.689008,-17.5391,0.49775,0
-0.92904,-17.5189,0.60624,0
-1.14889,-17.4861,0.723342,0
-1.35329,-17.44,0.848679,0
-1.53945,-17.377,0.981445,0
-1.68822,-17.2959,1.12134,0
-1.80178,-17.1951,1.26784,0
-1.88155,-17.0722,1.42,0
-1.92769,-16.9255,1.57744,0
-1.94627,-16.7528,1.73942,0
-1.93888,-16.5519,1.90501,0
-1.90468,-16.3202,2.07341,0
-1.84307,-16.0549,2.24347,0
-1.75396,-15.753,2.41374,0
-1.64163,-15.4112,2.58276,0
-1.5179,-15.0259,2.74838,0
-1.40586,-14.5933,2.90861,0
-1.33141,-14.1092,3.06066,0
-1.30069,-13.5691,3.20201,0
-1.28833,-12.9684,3.32943,0
-1.26556,-12.3022,3.44054,0
-1.23514,-11.5649,3.53289,0
-1.20492,-10.7508,3.60555,0
-1.17112,-9.85332,3.65883,0
-1.13005,-8.86484,3.69086,0
-1.07687,-7.77697,3.69778,0
-1.0095,-6.58048,3.6759,0
-0.930824,-5.26526,3.62108,0
-0.847032,-3.82021,3.52882,0
-0.765299,-2.23308,3.39439,0
-0.691812,-0.490443,3.2127,0
-0.630877,1.42254,2.97825,0
-0.585765,3.5222,2.68501,0
-0.554196,5.82644,2.32599,0
-0.532843,8.3548,1.89256,0
-0.466736,11.1283,1.37286,0
-0.435309,14.1695,0.751658,0
-0.296865,17.5,-5.0487e-06,0
-0.0353373,-17.5422,0.216644,0
0.177903,-17.529,0.118651,0
0.399,-17.5035,0.0128145,0
0.604572,-17.4639,-0.100298,0
0.780618,-17.4081,-0.21963,0
0.915629,-17.3329,-0.343474,0
1.00046,-17.2353,-0.469453,0
1.03675,-17.1135,-0.595699,0
1.03702,-16.967,-0.721197,0
1.00854,-16.7942,-0.84439,0
0.9569,-16.5941,-0.964642,0
0.894222,-16.3659,-1.08228,0
0.829369,-16.1079,-1.19749,0
0.765337,-15.8184,-1.31053,0
0.702868,-15.4954,-1.42239,0
0.642494,-15.1361,-1.53339,0
0.584336,-14.7376,-1.64422,0
0.527694,-14.2963,-1.75519,0
0.471541,-13.8084,-1.86663,0
0.41509,-13.2692,-1.97821,0
0.357775,-12.6739,-2.08937,0
0.299194,-12.0167,-2.19857,0
0.239977,-11.2914,-2.30322,0
0.18351,-10.491,-2.39854,0
0.134368,-9.60806,-2.48004,0
0.0928137,-8.63486,-2.54503,0
0.0566454,-7.56293,-2.59043,0
0.02508,-6.38295,-2.61298,0
-0.00188039,-5.08474,-2.60901,0
-0.0243332,-3.65712,-2.57462,0
-0.0427062,-2.08779,-2.50566,0
-0.0575955,-0.363235,-2.39771,0
-0.0696632,1.53142,-2.24595,0
-0.079675,3.61256,-2.0451,0
-0.0885213,5.89814,-1.78898,0
-0.0972408,8.40781,-1.46986,0
-0.106657,11.1628,-1.07688,0
-0.121656,14.1859,-0.596043,0
