X,NACA 0012-Re=   7e+04-Alpha= 0.00-NCrit=  1.0-XTrTop=0.010-XtrBot=0.568, , 
            1,     0.1410326, , 
    0.9928006,     0.1321401, , 
    0.9798895,      0.114712, , 
    0.9635184,    0.09407663, , 
    0.9445469,    0.07185676, , 
    0.9234998,    0.04997277, , 
    0.9007495,    0.02846853, , 
     0.876583,    0.00753494, , 
    0.8512328,   -0.01263186, , 
    0.8248944,   -0.03198938, , 
    0.7977362,   -0.05058726, , 
    0.7699063,   -0.06852375, , 
    0.7415373,   -0.08591693, , 
    0.7127487,    -0.1028869, , 
      0.68365,    -0.1195455, , 
    0.6543419,      -0.13599, , 
    0.6249182,    -0.1523013, , 
    0.5954661,     -0.168542, , 
    0.5660677,    -0.1847577, , 
    0.5368005,    -0.2009788, , 
    0.5077378,    -0.2172274, , 
    0.4789491,    -0.2335324, , 
    0.4505011,    -0.2495274, , 
    0.4224571,    -0.2653313, , 
    0.3948782,    -0.2809379, , 
    0.3678229,    -0.2962357, , 
    0.3413476,    -0.3111059, , 
    0.3155065,    -0.3254148, , 
    0.2903524,    -0.3390113, , 
    0.2659361,    -0.3517238, , 
    0.2423068,    -0.3633581, , 
    0.2195125,    -0.3736984, , 
    0.1975998,    -0.3825242, , 
    0.1766138,    -0.3896778, , 
    0.1565988,    -0.3952435, , 
    0.1375977,    -0.3998223, , 
    0.1196525,    -0.4042677, , 
    0.1028043,    -0.4068589, , 
   0.08709309,    -0.4016825, , 
   0.07255816,    -0.3883135, , 
   0.05923792,    -0.3688918, , 
   0.04717001,    -0.3399964, , 
   0.03639132,    -0.2969815, , 
   0.02693808,    -0.2327277, , 
   0.01884581,    -0.1353477, , 
   0.01214942,    0.01067238, , 
  0.006883198,     0.2329255, , 
  0.003080868,     0.5333413, , 
 0.0007755917,     0.8566923, , 
            0,     0.9997178, , 
 0.0007755917,     0.8313773, , 
  0.003080868,     0.4933526, , 
  0.006883198,     0.1890555, , 
   0.01214942,    -0.0316842, , 
   0.01884581,    -0.1743486, , 
   0.02693808,    -0.2683586, , 
   0.03639132,    -0.3291823, , 
   0.04717001,    -0.3690159, , 
   0.05923792,    -0.3949152, , 
   0.07255816,    -0.4112649, , 
   0.08709309,    -0.4208204, , 
    0.1028043,    -0.4253524, , 
    0.1196525,    -0.4260319, , 
    0.1375977,    -0.4236607, , 
    0.1565988,    -0.4188096, , 
    0.1766138,    -0.4119046, , 
    0.1975998,     -0.403279, , 
    0.2195125,     -0.393207, , 
    0.2423068,    -0.3819243, , 
    0.2659361,    -0.3696415, , 
    0.2903524,    -0.3565515, , 
    0.3155065,    -0.3428355, , 
    0.3413476,    -0.3286657, , 
    0.3678229,    -0.3142079, , 
    0.3948782,    -0.2996239, , 
    0.4224571,    -0.2850739, , 
    0.4505011,    -0.2707211, , 
    0.4789491,    -0.2567399, , 
    0.5077378,    -0.2433325, , 
    0.5368005,    -0.2307791, , 
    0.5660677,    -0.2195592, , 
    0.5954661,    -0.2008039, , 
    0.6249182,    -0.1779995, , 
    0.6543419,    -0.1536582, , 
      0.68365,    -0.1301432, , 
    0.7127487,    -0.1086262, , 
    0.7415373,   -0.08892621, , 
    0.7699063,   -0.07060928, , 
    0.7977362,   -0.05278536, , 
    0.8248944,   -0.03476994, , 
    0.8512328,   -0.01609165, , 
     0.876583,   0.003550742, , 
    0.9007495,    0.02430532, , 
    0.9234998,     0.0461378, , 
    0.9445469,    0.06875101, , 
    0.9635184,     0.0914721, , 
    0.9798895,     0.1130362, , 
    0.9928006,     0.1315767, , 
            1,     0.1410326, , 

