X,NACA 0012-Re=   6e+04-Alpha= 4.00-NCrit=  3.0-XTrTop=0.380-XtrBot=1.000, , 
            1,    0.08686293, , 
    0.9928006,    0.07857748, , 
    0.9798895,    0.06223227, , 
    0.9635184,    0.04212063, , 
    0.9445469,    0.01975726, , 
    0.9234998,  -0.003233806, , 
    0.9007495,    -0.0270527, , 
     0.876583,   -0.05120615, , 
    0.8512328,   -0.07537721, , 
    0.8248944,   -0.09938832, , 
    0.7977362,    -0.1231659, , 
    0.7699063,    -0.1467078, , 
    0.7415373,    -0.1700578, , 
    0.7127487,    -0.1932869, , 
      0.68365,     -0.216485, , 
    0.6543419,    -0.2397661, , 
    0.6249182,    -0.2632926, , 
    0.5954661,    -0.2873377, , 
    0.5660677,    -0.3124096, , 
    0.5368005,    -0.3394677, , 
    0.5077378,    -0.3700722, , 
    0.4789491,    -0.4059122, , 
    0.4505011,    -0.4494167, , 
    0.4224571,    -0.5000962, , 
    0.3948782,    -0.5532063, , 
    0.3678229,    -0.5899751, , 
    0.3413476,    -0.6131014, , 
    0.3155065,    -0.6384213, , 
    0.2903524,    -0.6658449, , 
    0.2659361,    -0.6953962, , 
    0.2423068,     -0.727121, , 
    0.2195125,    -0.7610688, , 
    0.1975998,    -0.7973038, , 
    0.1766138,    -0.8359272, , 
    0.1565988,    -0.8770997, , 
    0.1375977,    -0.9210623, , 
    0.1196525,    -0.9681494, , 
    0.1028043,     -1.018793, , 
   0.08709309,     -1.073509, , 
   0.07255816,     -1.132848, , 
   0.05923792,      -1.19727, , 
   0.04717001,     -1.266856, , 
   0.03639132,     -1.340639, , 
   0.02693808,     -1.415079, , 
   0.01884581,     -1.480576, , 
   0.01214942,     -1.513673, , 
  0.006883198,     -1.457564, , 
  0.003080868,     -1.220737, , 
 0.0007755917,     -0.653214, , 
            0,     0.1246114, , 
 0.0007755917,     0.7494298, , 
  0.003080868,     0.9888276, , 
  0.006883198,     0.9609392, , 
   0.01214942,     0.8264514, , 
   0.01884581,     0.6808533, , 
   0.02693808,     0.5430123, , 
   0.03639132,      0.430429, , 
   0.04717001,     0.3341945, , 
   0.05923792,     0.2557605, , 
   0.07255816,     0.1906443, , 
   0.08709309,     0.1367006, , 
    0.1028043,    0.09193284, , 
    0.1196525,    0.05478847, , 
    0.1375977,    0.02405236, , 
    0.1565988,  -0.001237576, , 
    0.1766138,   -0.02185488, , 
    0.1975998,   -0.03843262, , 
    0.2195125,   -0.05149865, , 
    0.2423068,   -0.06150104, , 
    0.2659361,   -0.06882621, , 
    0.2903524,   -0.07381181, , 
    0.3155065,   -0.07675564, , 
    0.3413476,   -0.07792184, , 
    0.3678229,   -0.07754505, , 
    0.3948782,   -0.07583299, , 
    0.4224571,   -0.07296792, , 
    0.4505011,   -0.06910755, , 
    0.4789491,   -0.06438587, , 
    0.5077378,   -0.05891388, , 
    0.5368005,   -0.05278021, , 
    0.5660677,   -0.04605187, , 
    0.5954661,   -0.03877566, , 
    0.6249182,   -0.03098078, , 
    0.6543419,   -0.02268343, , 
      0.68365,   -0.01389451, , 
    0.7127487,  -0.004631667, , 
    0.7415373,   0.005063249, , 
    0.7699063,    0.01510154, , 
    0.7977362,     0.0253234, , 
    0.8248944,    0.03548153, , 
    0.8512328,     0.0452487, , 
     0.876583,    0.05426577, , 
    0.9007495,    0.06223075, , 
    0.9234998,    0.06899552, , 
    0.9445469,    0.07460584, , 
    0.9635184,    0.07923156, , 
    0.9798895,    0.08287019, , 
    0.9928006,    0.08547728, , 
            1,    0.08686293, , 

