X,NACA 0012-Re=   6e+04-Alpha=12.00-NCrit=  1.0-XTrTop=0.025-XtrBot=1.000, , 
            1,    -0.0995764, , 
    0.9928006,     -0.101629, , 
    0.9798895,    -0.1053371, , 
    0.9635184,    -0.1101096, , 
    0.9445469,     -0.115759, , 
    0.9234998,    -0.1221895, , 
    0.9007495,    -0.1293489, , 
     0.876583,    -0.1372082, , 
    0.8512328,     -0.145752, , 
    0.8248944,    -0.1549723, , 
    0.7977362,    -0.1648634, , 
    0.7699063,    -0.1754167, , 
    0.7415373,    -0.1866223, , 
    0.7127487,    -0.1985068, , 
      0.68365,    -0.2113861, , 
    0.6543419,    -0.2271099, , 
    0.6249182,    -0.2472643, , 
    0.5954661,    -0.2709022, , 
    0.5660677,     -0.298316, , 
    0.5368005,    -0.3297528, , 
    0.5077378,    -0.3654043, , 
    0.4789491,    -0.4054025, , 
    0.4505011,    -0.4498228, , 
    0.4224571,    -0.4986949, , 
    0.3948782,    -0.5520226, , 
    0.3678229,    -0.6098107, , 
    0.3413476,    -0.6720989, , 
    0.3155065,    -0.7390039, , 
    0.2903524,    -0.8107827, , 
    0.2659361,    -0.8856684, , 
    0.2423068,    -0.9647676, , 
    0.2195125,     -1.049869, , 
    0.1975998,     -1.141689, , 
    0.1766138,     -1.241237, , 
    0.1565988,     -1.349907, , 
    0.1375977,     -1.469629, , 
    0.1196525,     -1.603142, , 
    0.1028043,     -1.753451, , 
   0.08709309,     -1.924783, , 
   0.07255816,     -2.127405, , 
   0.05923792,     -2.375479, , 
   0.04717001,     -2.691369, , 
   0.03639132,     -3.100701, , 
   0.02693808,     -3.603725, , 
   0.01884581,     -3.915524, , 
   0.01214942,     -4.252221, , 
  0.006883198,     -4.700725, , 
  0.003080868,     -5.062485, , 
 0.0007755917,     -4.816688, , 
            0,     -3.562911, , 
 0.0007755917,     -1.818833, , 
  0.003080868,    -0.3537979, , 
  0.006883198,      0.480542, , 
   0.01214942,     0.8591467, , 
   0.01884581,     0.9855922, , 
   0.02693808,     0.9943637, , 
   0.03639132,      0.948671, , 
   0.04717001,     0.8825069, , 
   0.05923792,     0.8077077, , 
   0.07255816,     0.7348586, , 
   0.08709309,     0.6642444, , 
    0.1028043,     0.5992168, , 
    0.1196525,     0.5392207, , 
    0.1375977,     0.4845708, , 
    0.1565988,     0.4349618, , 
    0.1766138,     0.3900718, , 
    0.1975998,     0.3495403, , 
    0.2195125,     0.3130026, , 
    0.2423068,     0.2801042, , 
    0.2659361,     0.2505063, , 
    0.2903524,     0.2238886, , 
    0.3155065,     0.1999489, , 
    0.3413476,     0.1784037, , 
    0.3678229,     0.1589869, , 
    0.3948782,       0.14145, , 
    0.4224571,     0.1255613, , 
    0.4505011,     0.1111056, , 
    0.4789491,    0.09788488, , 
    0.5077378,    0.08571703, , 
    0.5368005,    0.07443677, , 
    0.5660677,    0.06389471, , 
    0.5954661,    0.05395759, , 
    0.6249182,    0.04450741, , 
    0.6543419,    0.03544153, , 
      0.68365,    0.02667087, , 
    0.7127487,    0.01811885, , 
    0.7415373,   0.009720942, , 
    0.7699063,    0.00142163, , 
    0.7977362,  -0.006828705, , 
    0.8248944,   -0.01507584, , 
    0.8512328,   -0.02336683, , 
     0.876583,   -0.03175414, , 
    0.9007495,   -0.04030082, , 
    0.9234998,   -0.04908032, , 
    0.9445469,   -0.05818104, , 
    0.9635184,   -0.06763482, , 
    0.9798895,   -0.07760841, , 
    0.9928006,   -0.08688847, , 
            1,    -0.0995764, , 

