c_p,Points_0,Points_1,Points_2
0.750968,-17.5492,0.306481,0
0.636796,-17.5472,0.397851,0
0.498038,-17.5391,0.49775,0
0.334162,-17.5189,0.60624,0
0.156946,-17.4861,0.723342,0
-0.03278,-17.44,0.848679,0
-0.228798,-17.377,0.981445,0
-0.418045,-17.2959,1.12134,0
-0.597887,-17.1951,1.26784,0
-0.764444,-17.0722,1.42,0
-0.913311,-16.9255,1.57744,0
-1.0451,-16.7528,1.73942,0
-1.15988,-16.5519,1.90501,0
-1.2579,-16.3202,2.07341,0
-1.33956,-16.0549,2.24347,0
-1.40393,-15.753,2.41374,0
-1.45156,-15.4112,2.58276,0
-1.48267,-15.0259,2.74838,0
-1.49722,-14.5933,2.90861,0
-1.49434,-14.1092,3.06066,0
-1.47286,-13.5691,3.20201,0
-1.43191,-12.9684,3.32943,0
-1.37096,-12.3022,3.44054,0
-1.29172,-11.5649,3.53289,0
-1.1999,-10.7508,3.60555,0
-1.10885,-9.85332,3.65883,0
-1.02674,-8.86484,3.69086,0
-0.94938,-7.77697,3.69778,0
-0.871946,-6.58048,3.6759,0
-0.793967,-5.26526,3.62108,0
-0.715236,-3.82021,3.52882,0
-0.635263,-2.23308,3.39439,0
-0.553776,-0.490443,3.2127,0
-0.470472,1.42254,2.97825,0
-0.384834,3.5222,2.68501,0
-0.295196,5.82644,2.32599,0
-0.199124,8.3548,1.89256,0
-0.0874122,11.1283,1.37286,0
0.0435056,14.1695,0.751658,0
0.139833,17.5,-5.0487e-06,0
0.847921,-17.5422,0.216644,0
0.927698,-17.529,0.118651,0
0.983418,-17.5035,0.0128145,0
1.00791,-17.4639,-0.100298,0
1.00318,-17.4081,-0.21963,0
0.964711,-17.3329,-0.343474,0
0.889711,-17.2353,-0.469453,0
0.790163,-17.1135,-0.595699,0
0.680752,-16.967,-0.721197,0
0.572539,-16.7942,-0.84439,0
0.474305,-16.5941,-0.964642,0
0.389606,-16.3659,-1.08228,0
0.317879,-16.1079,-1.19749,0
0.258088,-15.8184,-1.31053,0
0.207282,-15.4954,-1.42239,0
0.162458,-15.1361,-1.53339,0
0.121791,-14.7376,-1.64422,0
0.083418,-14.2963,-1.75519,0
0.0456546,-13.8084,-1.86663,0
0.00747436,-13.2692,-1.97821,0
-0.0316197,-12.6739,-2.08937,0
-0.0717627,-12.0167,-2.19857,0
-0.111481,-11.2914,-2.30322,0
-0.145952,-10.491,-2.39854,0
-0.169742,-9.60806,-2.48004,0
-0.183606,-8.63486,-2.54503,0
-0.191008,-7.56293,-2.59043,0
-0.192993,-6.38295,-2.61298,0
-0.189477,-5.08474,-2.60901,0
-0.180494,-3.65712,-2.57462,0
-0.166415,-2.08779,-2.50566,0
-0.147619,-0.363235,-2.39771,0
-0.124249,1.53142,-2.24595,0
-0.0961719,3.61256,-2.0451,0
-0.0624895,5.89814,-1.78898,0
-0.0212127,8.40781,-1.46986,0
0.0347946,11.1628,-1.07688,0
0.117503,14.1859,-0.596043,0
