X,NACA 0012-Re=   7e+04-Alpha=12.00-NCrit=  1.0-XTrTop=0.010-XtrBot=1.000, , 
            1,   -0.06611554, , 
    0.9928006,   -0.06808268, , 
    0.9798895,   -0.07162501, , 
    0.9635184,    -0.0761698, , 
    0.9445469,   -0.08153065, , 
    0.9234998,   -0.08760401, , 
    0.9007495,   -0.09432107, , 
     0.876583,    -0.1016242, , 
    0.8512328,    -0.1094572, , 
    0.8248944,    -0.1177822, , 
    0.7977362,    -0.1267399, , 
    0.7699063,    -0.1375199, , 
    0.7415373,     -0.152535, , 
    0.7127487,    -0.1706552, , 
      0.68365,    -0.1920444, , 
    0.6543419,    -0.2169168, , 
    0.6249182,    -0.2454354, , 
    0.5954661,    -0.2777046, , 
    0.5660677,    -0.3137712, , 
    0.5368005,    -0.3536308, , 
    0.5077378,    -0.3972422, , 
    0.4789491,    -0.4445454, , 
    0.4505011,    -0.4954843, , 
    0.4224571,    -0.5500301, , 
    0.3948782,     -0.608205, , 
    0.3678229,    -0.6701057, , 
    0.3413476,    -0.7359305, , 
    0.3155065,    -0.8059359, , 
    0.2903524,    -0.8803761, , 
    0.2659361,    -0.9597258, , 
    0.2423068,     -1.044324, , 
    0.2195125,     -1.131911, , 
    0.1975998,     -1.226684, , 
    0.1766138,     -1.329736, , 
    0.1565988,     -1.442581, , 
    0.1375977,     -1.567263, , 
    0.1196525,     -1.706541, , 
    0.1028043,     -1.864204, , 
   0.08709309,     -2.044426, , 
   0.07255816,     -2.252258, , 
   0.05923792,     -2.499063, , 
   0.04717001,     -2.797649, , 
   0.03639132,     -3.162914, , 
   0.02693808,     -3.603503, , 
   0.01884581,     -4.106348, , 
   0.01214942,     -4.638553, , 
  0.006883198,     -5.143158, , 
  0.003080868,     -5.529052, , 
 0.0007755917,     -5.288303, , 
            0,     -3.972834, , 
 0.0007755917,     -2.114405, , 
  0.003080868,      -0.53013, , 
  0.006883198,     0.3887663, , 
   0.01214942,     0.8180688, , 
   0.01884581,     0.9732671, , 
   0.02693808,     0.9985448, , 
   0.03639132,     0.9624631, , 
   0.04717001,     0.9014376, , 
   0.05923792,     0.8299358, , 
   0.07255816,     0.7585667, , 
   0.08709309,     0.6888359, , 
    0.1028043,     0.6241105, , 
    0.1196525,     0.5640842, , 
    0.1375977,     0.5092305, , 
    0.1565988,      0.459296, , 
    0.1766138,     0.4140181, , 
    0.1975998,     0.3730695, , 
    0.2195125,      0.336108, , 
    0.2423068,     0.3027942, , 
    0.2659361,     0.2727996, , 
    0.2903524,      0.245811, , 
    0.3155065,     0.2215316, , 
    0.3413476,     0.1996811, , 
    0.3678229,     0.1799962, , 
    0.3948782,     0.1622303, , 
    0.4224571,     0.1461531, , 
    0.4505011,     0.1315512, , 
    0.4789491,     0.1182276, , 
    0.5077378,     0.1060019, , 
    0.5368005,    0.09471003, , 
    0.5660677,    0.08420485, , 
    0.5954661,    0.07435518, , 
    0.6249182,    0.06504586, , 
    0.6543419,    0.05617713, , 
      0.68365,     0.0476639, , 
    0.7127487,    0.03943497, , 
    0.7415373,    0.03143071, , 
    0.7699063,     0.0236021, , 
    0.7977362,    0.01590762, , 
    0.8248944,   0.008309219, , 
    0.8512328,  0.0007686112, , 
     0.876583,  -0.006757591, , 
    0.9007495,   -0.01432313, , 
    0.9234998,   -0.02199423, , 
    0.9445469,   -0.02985747, , 
    0.9635184,   -0.03795484, , 
    0.9798895,   -0.04649255, , 
    0.9928006,    -0.0543671, , 
            1,   -0.06611554, , 

