c_p,Points_0,Points_1,Points_2
1.12539,-17.5492,0.306481,0
0.953947,-17.5472,0.397851,0
0.745625,-17.5391,0.49775,0
0.499634,-17.5189,0.60624,0
0.233666,-17.4861,0.723342,0
-0.0510444,-17.44,0.848679,0
-0.345166,-17.377,0.981445,0
-0.629095,-17.2959,1.12134,0
-0.898881,-17.1951,1.26784,0
-1.14871,-17.0722,1.42,0
-1.37198,-16.9255,1.57744,0
-1.5696,-16.7528,1.73942,0
-1.7417,-16.5519,1.90501,0
-1.88863,-16.3202,2.07341,0
-2.01099,-16.0549,2.24347,0
-2.1074,-15.753,2.41374,0
-2.17864,-15.4112,2.58276,0
-2.22504,-15.0259,2.74838,0
-2.24652,-14.5933,2.90861,0
-2.24181,-14.1092,3.06066,0
-2.20936,-13.5691,3.20201,0
-2.1483,-12.9684,3.32943,0
-2.05812,-12.3022,3.44054,0
-1.94064,-11.5649,3.53289,0
-1.80336,-10.7508,3.60555,0
-1.66621,-9.85332,3.65883,0
-1.54213,-8.86484,3.69086,0
-1.4254,-7.77697,3.69778,0
-1.30887,-6.58048,3.6759,0
-1.19173,-5.26526,3.62108,0
-1.07358,-3.82021,3.52882,0
-0.953605,-2.23308,3.39439,0
-0.831363,-0.490443,3.2127,0
-0.706396,1.42254,2.97825,0
-0.577928,3.5222,2.68501,0
-0.443463,5.82644,2.32599,0
-0.299323,8.3548,1.89256,0
-0.131675,11.1283,1.37286,0
0.0653474,14.1695,0.751658,0
0.210722,17.5,-5.0487e-06,0
1.27101,-17.5422,0.216644,0
1.39088,-17.529,0.118651,0
1.47471,-17.5035,0.0128145,0
1.51166,-17.4639,-0.100298,0
1.50475,-17.4081,-0.21963,0
1.44726,-17.3329,-0.343474,0
1.33496,-17.2353,-0.469453,0
1.18577,-17.1135,-0.595699,0
1.02174,-16.967,-0.721197,0
0.859475,-16.7942,-0.84439,0
0.712144,-16.5941,-0.964642,0
0.585091,-16.3659,-1.08228,0
0.477487,-16.1079,-1.19749,0
0.387784,-15.8184,-1.31053,0
0.31156,-15.4954,-1.42239,0
0.244318,-15.1361,-1.53339,0
0.18332,-14.7376,-1.64422,0
0.125776,-14.2963,-1.75519,0
0.0691638,-13.8084,-1.86663,0
0.0119452,-13.2692,-1.97821,0
-0.0466387,-12.6739,-2.08937,0
-0.106861,-12.0167,-2.19857,0
-0.166604,-11.2914,-2.30322,0
-0.218572,-10.491,-2.39854,0
-0.254426,-9.60806,-2.48004,0
-0.275229,-8.63486,-2.54503,0
-0.286264,-7.56293,-2.59043,0
-0.289187,-6.38295,-2.61298,0
-0.283884,-5.08474,-2.60901,0
-0.270391,-3.65712,-2.57462,0
-0.249255,-2.08779,-2.50566,0
-0.221047,-0.363235,-2.39771,0
-0.185977,1.53142,-2.24595,0
-0.143844,3.61256,-2.0451,0
-0.0933004,5.89814,-1.78898,0
-0.0313476,8.40781,-1.46986,0
0.0527301,11.1628,-1.07688,0
0.177174,14.1859,-0.596043,0
