X,NACA 0012-Re=   6e+04-Alpha=16.00-NCrit=  9.0-XTrTop=0.010-XtrBot=1.000, , 
            1,    -0.3763168, , 
    0.9928006,     -0.377917, , 
    0.9798895,    -0.3808135, , 
    0.9635184,    -0.3845316, , 
    0.9445469,    -0.3889151, , 
    0.9234998,    -0.3938799, , 
    0.9007495,    -0.3993762, , 
     0.876583,    -0.4053731, , 
    0.8512328,    -0.4118518, , 
    0.8248944,    -0.4188022, , 
    0.7977362,    -0.4262209, , 
    0.7699063,    -0.4341099, , 
    0.7415373,    -0.4424762, , 
    0.7127487,    -0.4513307, , 
      0.68365,    -0.4606889, , 
    0.6543419,    -0.4705706, , 
    0.6249182,    -0.4809996, , 
    0.5954661,    -0.4920049, , 
    0.5660677,    -0.5036202, , 
    0.5368005,    -0.5158851, , 
    0.5077378,    -0.5288453, , 
    0.4789491,    -0.5425538, , 
    0.4505011,    -0.5570717, , 
    0.4224571,    -0.5724696, , 
    0.3948782,    -0.5888291, , 
    0.3678229,    -0.6062448, , 
    0.3413476,    -0.6248267, , 
    0.3155065,    -0.6447033, , 
    0.2903524,    -0.6660255, , 
    0.2659361,     -0.688972, , 
    0.2423068,    -0.7137552, , 
    0.2195125,    -0.7406308, , 
    0.1975998,    -0.7699094, , 
    0.1766138,    -0.8023095, , 
    0.1565988,    -0.8382218, , 
    0.1375977,    -0.8780341, , 
    0.1196525,    -0.9224771, , 
    0.1028043,    -0.9724698, , 
   0.08709309,     -1.029023, , 
   0.07255816,     -1.093286, , 
   0.05923792,     -1.167846, , 
   0.04717001,     -1.255825, , 
   0.03639132,     -1.361979, , 
   0.02693808,     -1.493852, , 
   0.01884581,     -1.664564, , 
   0.01214942,      -1.90112, , 
  0.006883198,     -2.168939, , 
  0.003080868,     -2.489761, , 
 0.0007755917,     -2.483093, , 
            0,     -1.773649, , 
 0.0007755917,    -0.6739891, , 
  0.003080868,     0.2389629, , 
  0.006883198,     0.7499868, , 
   0.01214942,     0.9536487, , 
   0.01884581,     0.9999762, , 
   0.02693808,     0.9704577, , 
   0.03639132,     0.9095711, , 
   0.04717001,     0.8366549, , 
   0.05923792,     0.7620685, , 
   0.07255816,     0.6896179, , 
   0.08709309,     0.6214914, , 
    0.1028043,     0.5581392, , 
    0.1196525,      0.499732, , 
    0.1375977,     0.4460783, , 
    0.1565988,      0.396897, , 
    0.1766138,      0.351862, , 
    0.1975998,     0.3106395, , 
    0.2195125,     0.2729028, , 
    0.2423068,     0.2383384, , 
    0.2659361,     0.2066476, , 
    0.2903524,     0.1775463, , 
    0.3155065,     0.1507643, , 
    0.3413476,     0.1260447, , 
    0.3678229,     0.1031426, , 
    0.3948782,    0.08182516, , 
    0.4224571,    0.06187119, , 
    0.4505011,    0.04307117, , 
    0.4789491,    0.02522723, , 
    0.5077378,   0.008153294, , 
    0.5368005,  -0.008324885, , 
    0.5660677,   -0.02436964, , 
    0.5954661,   -0.04013156, , 
    0.6249182,   -0.05574965, , 
    0.6543419,   -0.07135183, , 
      0.68365,   -0.08705565, , 
    0.7127487,    -0.1029692, , 
    0.7415373,    -0.1191928, , 
    0.7699063,    -0.1358211, , 
    0.7977362,    -0.1529456, , 
    0.8248944,    -0.1706588, , 
    0.8512328,    -0.1890586, , 
     0.876583,    -0.2082541, , 
    0.9007495,    -0.2283723, , 
    0.9234998,     -0.249558, , 
    0.9445469,    -0.2719862, , 
    0.9635184,    -0.2957158, , 
    0.9798895,    -0.3211282, , 
    0.9928006,    -0.3454754, , 
            1,    -0.3763168, , 

