c_p,Points_0,Points_1,Points_2
0.890406,-17.5492,0.306481,0
0.699999,-17.5472,0.397851,0
0.48327,-17.5391,0.49775,0
0.242379,-17.5189,0.60624,0
0.000196333,-17.4861,0.723342,0
-0.242788,-17.44,0.848679,0
-0.478564,-17.377,0.981445,0
-0.687742,-17.2959,1.12134,0
-0.867875,-17.1951,1.26784,0
-1.01508,-17.0722,1.42,0
-1.12293,-16.9255,1.57744,0
-1.19233,-16.7528,1.73942,0
-1.22517,-16.5519,1.90501,0
-1.22098,-16.3202,2.07341,0
-1.1762,-16.0549,2.24347,0
-1.0888,-15.753,2.41374,0
-0.971419,-15.4112,2.58276,0
-0.863704,-15.0259,2.74838,0
-0.825947,-14.5933,2.90861,0
-0.859594,-14.1092,3.06066,0
-0.894821,-13.5691,3.20201,0
-0.89851,-12.9684,3.32943,0
-0.893231,-12.3022,3.44054,0
-0.893171,-11.5649,3.53289,0
-0.893329,-10.7508,3.60555,0
-0.890085,-9.85332,3.65883,0
-0.882219,-8.86484,3.69086,0
-0.87074,-7.77697,3.69778,0
-0.856471,-6.58048,3.6759,0
-0.841307,-5.26526,3.62108,0
-0.830009,-3.82021,3.52882,0
-0.828901,-2.23308,3.39439,0
-0.842845,-0.490443,3.2127,0
-0.873254,1.42254,2.97825,0
-0.917888,3.5222,2.68501,0
-0.970518,5.82644,2.32599,0
-1.01139,8.3548,1.89256,0
-0.94334,11.1283,1.37286,0
-0.926317,14.1695,0.751658,0
-0.706123,17.5,-5.0487e-06,0
1.06364,-17.5422,0.216644,0
1.22329,-17.529,0.118651,0
1.36611,-17.5035,0.0128145,0
1.47084,-17.4639,-0.100298,0
1.52534,-17.4081,-0.21963,0
1.53367,-17.3329,-0.343474,0
1.49787,-17.2353,-0.469453,0
1.41593,-17.1135,-0.595699,0
1.30104,-16.967,-0.721197,0
1.17309,-16.7942,-0.84439,0
1.04604,-16.5941,-0.964642,0
0.926684,-16.3659,-1.08228,0
0.817701,-16.1079,-1.19749,0
0.720465,-15.8184,-1.31053,0
0.632959,-15.4954,-1.42239,0
0.552257,-15.1361,-1.53339,0
0.476348,-14.7376,-1.64422,0
0.403008,-14.2963,-1.75519,0
0.330029,-13.8084,-1.86663,0
0.255882,-13.2692,-1.97821,0
0.179627,-12.6739,-2.08937,0
0.100693,-12.0167,-2.19857,0
0.0204282,-11.2914,-2.30322,0
-0.0551577,-10.491,-2.39854,0
-0.118531,-9.60806,-2.48004,0
-0.170126,-8.63486,-2.54503,0
-0.213858,-7.56293,-2.59043,0
-0.250111,-6.38295,-2.61298,0
-0.27861,-5.08474,-2.60901,0
-0.300406,-3.65712,-2.57462,0
-0.316961,-2.08779,-2.50566,0
-0.329451,-0.363235,-2.39771,0
-0.338984,1.53142,-2.24595,0
-0.346933,3.61256,-2.0451,0
-0.354914,5.89814,-1.78898,0
-0.36489,8.40781,-1.46986,0
-0.378457,11.1628,-1.07688,0
-0.403745,14.1859,-0.596043,0
