c_p,Points_0,Points_1,Points_2
0.258268,-17.5492,0.306481,0
0.106811,-17.5472,0.397851,0
-0.0552767,-17.5391,0.49775,0
-0.225467,-17.5189,0.60624,0
-0.382286,-17.4861,0.723342,0
-0.526983,-17.44,0.848679,0
-0.655461,-17.377,0.981445,0
-0.752604,-17.2959,1.12134,0
-0.8179,-17.1951,1.26784,0
-0.85219,-17.0722,1.42,0
-0.854775,-16.9255,1.57744,0
-0.827222,-16.7528,1.73942,0
-0.77043,-16.5519,1.90501,0
-0.692209,-16.3202,2.07341,0
-0.614899,-16.0549,2.24347,0
-0.572573,-15.753,2.41374,0
-0.582817,-15.4112,2.58276,0
-0.61337,-15.0259,2.74838,0
-0.624424,-14.5933,2.90861,0
-0.620631,-14.1092,3.06066,0
-0.617017,-13.5691,3.20201,0
-0.615788,-12.9684,3.32943,0
-0.615963,-12.3022,3.44054,0
-0.615972,-11.5649,3.53289,0
-0.615715,-10.7508,3.60555,0
-0.615486,-9.85332,3.65883,0
-0.615471,-8.86484,3.69086,0
-0.615836,-7.77697,3.69778,0
-0.616704,-6.58048,3.6759,0
-0.618146,-5.26526,3.62108,0
-0.620213,-3.82021,3.52882,0
-0.622984,-2.23308,3.39439,0
-0.626683,-0.490443,3.2127,0
-0.631261,1.42254,2.97825,0
-0.635434,3.5222,2.68501,0
-0.637606,5.82644,2.32599,0
-0.635083,8.3548,1.89256,0
-0.569426,11.1283,1.37286,0
-0.552839,14.1695,0.751658,0
-0.492306,17.5,-5.0487e-06,0
0.404818,-17.5422,0.216644,0
0.550432,-17.529,0.118651,0
0.696555,-17.5035,0.0128145,0
0.82777,-17.4639,-0.100298,0
0.932969,-17.4081,-0.21963,0
1.00176,-17.3329,-0.343474,0
1.03192,-17.2353,-0.469453,0
1.03118,-17.1135,-0.595699,0
1.00326,-16.967,-0.721197,0
0.951798,-16.7942,-0.84439,0
0.888228,-16.5941,-0.964642,0
0.821634,-16.3659,-1.08228,0
0.755587,-16.1079,-1.19749,0
0.692027,-15.8184,-1.31053,0
0.631549,-15.4954,-1.42239,0
0.573824,-15.1361,-1.53339,0
0.518216,-14.7376,-1.64422,0
0.463681,-14.2963,-1.75519,0
0.409065,-13.8084,-1.86663,0
0.35348,-13.2692,-1.97821,0
0.29626,-12.6739,-2.08937,0
0.236928,-12.0167,-2.19857,0
0.176151,-11.2914,-2.30322,0
0.117548,-10.491,-2.39854,0
0.065906,-9.60806,-2.48004,0
0.0213173,-8.63486,-2.54503,0
-0.0186768,-7.56293,-2.59043,0
-0.0549263,-6.38295,-2.61298,0
-0.0874629,-5.08474,-2.60901,0
-0.116456,-3.65712,-2.57462,0
-0.14248,-2.08779,-2.50566,0
-0.166344,-0.363235,-2.39771,0
-0.189009,1.53142,-2.24595,0
-0.211728,3.61256,-2.0451,0
-0.23618,5.89814,-1.78898,0
-0.264676,8.40781,-1.46986,0
-0.300212,11.1628,-1.07688,0
-0.352908,14.1859,-0.596043,0
