c_p,Points_0,Points_1,Points_2
1.5072,-17.5492,0.306481,0
1.50748,-17.5472,0.397851,0
1.47819,-17.5391,0.49775,0
1.40791,-17.5189,0.60624,0
1.29533,-17.4861,0.723342,0
1.14373,-17.44,0.848679,0
0.959335,-17.377,0.981445,0
0.752109,-17.2959,1.12134,0
0.529726,-17.1951,1.26784,0
0.301798,-17.0722,1.42,0
0.0771339,-16.9255,1.57744,0
-0.139873,-16.7528,1.73942,0
-0.345281,-16.5519,1.90501,0
-0.536307,-16.3202,2.07341,0
-0.711009,-16.0549,2.24347,0
-0.866861,-15.753,2.41374,0
-1.00261,-15.4112,2.58276,0
-1.11612,-15.0259,2.74838,0
-1.20544,-14.5933,2.90861,0
-1.26893,-14.1092,3.06066,0
-1.3058,-13.5691,3.20201,0
-1.31557,-12.9684,3.32943,0
-1.2985,-12.3022,3.44054,0
-1.25634,-11.5649,3.53289,0
-1.19372,-10.7508,3.60555,0
-1.12546,-9.85332,3.65883,0
-1.06205,-8.86484,3.69086,0
-0.99911,-7.77697,3.69778,0
-0.931379,-6.58048,3.6759,0
-0.859125,-5.26526,3.62108,0
-0.782756,-3.82021,3.52882,0
-0.70209,-2.23308,3.39439,0
-0.617034,-0.490443,3.2127,0
-0.527381,1.42254,2.97825,0
-0.432639,3.5222,2.68501,0
-0.330804,5.82644,2.32599,0
-0.218456,8.3548,1.89256,0
-0.0825683,11.1283,1.37286,0
0.0895914,14.1695,0.751658,0
0.207729,17.5,-5.0487e-06,0
1.48071,-17.5422,0.216644,0
1.4153,-17.529,0.118651,0
1.30133,-17.5035,0.0128145,0
1.13801,-17.4639,-0.100298,0
0.927037,-17.4081,-0.21963,0
0.677725,-17.3329,-0.343474,0
0.413758,-17.2353,-0.469453,0
0.1656,-17.1135,-0.595699,0
-0.04879,-16.967,-0.721197,0
-0.220978,-16.7942,-0.84439,0
-0.344599,-16.5941,-0.964642,0
-0.426499,-16.3659,-1.08228,0
-0.479369,-16.1079,-1.19749,0
-0.510765,-15.8184,-1.31053,0
-0.529989,-15.4954,-1.42239,0
-0.544306,-15.1361,-1.53339,0
-0.556459,-14.7376,-1.64422,0
-0.569224,-14.2963,-1.75519,0
-0.585051,-13.8084,-1.86663,0
-0.605135,-13.2692,-1.97821,0
-0.629679,-12.6739,-2.08937,0
-0.658025,-12.0167,-2.19857,0
-0.68645,-11.2914,-2.30322,0
-0.705912,-10.491,-2.39854,0
-0.707281,-9.60806,-2.48004,0
-0.692866,-8.63486,-2.54503,0
-0.669179,-7.56293,-2.59043,0
-0.637996,-6.38295,-2.61298,0
-0.599224,-5.08474,-2.60901,0
-0.553048,-3.65712,-2.57462,0
-0.500135,-2.08779,-2.50566,0
-0.441045,-0.363235,-2.39771,0
-0.37587,1.53142,-2.24595,0
-0.304196,3.61256,-2.0451,0
-0.224292,5.89814,-1.78898,0
-0.13259,8.40781,-1.46986,0
-0.0173388,11.1628,-1.07688,0
0.139468,14.1859,-0.596043,0
