c_p,Points_0,Points_1,Points_2
1.25426,-17.5492,0.306481,0
1.11648,-17.5472,0.397851,0
0.946607,-17.5391,0.49775,0
0.743828,-17.5189,0.60624,0
0.522428,-17.4861,0.723342,0
0.284699,-17.44,0.848679,0
0.0397302,-17.377,0.981445,0
-0.195353,-17.2959,1.12134,0
-0.416049,-17.1951,1.26784,0
-0.616399,-17.0722,1.42,0
-0.789969,-16.9255,1.57744,0
-0.936451,-16.7528,1.73942,0
-1.05484,-16.5519,1.90501,0
-1.14344,-16.3202,2.07341,0
-1.2012,-16.0549,2.24347,0
-1.22704,-15.753,2.41374,0
-1.21874,-15.4112,2.58276,0
-1.17019,-15.0259,2.74838,0
-1.07749,-14.5933,2.90861,0
-0.950799,-14.1092,3.06066,0
-0.833145,-13.5691,3.20201,0
-0.792706,-12.9684,3.32943,0
-0.818991,-12.3022,3.44054,0
-0.839949,-11.5649,3.53289,0
-0.836056,-10.7508,3.60555,0
-0.822995,-9.85332,3.65883,0
-0.810848,-8.86484,3.69086,0
-0.798661,-7.77697,3.69778,0
-0.783182,-6.58048,3.6759,0
-0.765289,-5.26526,3.62108,0
-0.747361,-3.82021,3.52882,0
-0.731556,-2.23308,3.39439,0
-0.720022,-0.490443,3.2127,0
-0.713486,1.42254,2.97825,0
-0.712945,3.5222,2.68501,0
-0.714585,5.82644,2.32599,0
-0.71836,8.3548,1.89256,0
-0.646821,11.1283,1.37286,0
-0.625663,14.1695,0.751658,0
-0.516467,17.5,-5.0487e-06,0
1.36849,-17.5422,0.216644,0
1.45681,-17.529,0.118651,0
1.50993,-17.5035,0.0128145,0
1.52408,-17.4639,-0.100298,0
1.49883,-17.4081,-0.21963,0
1.4222,-17.3329,-0.343474,0
1.29576,-17.2353,-0.469453,0
1.13996,-17.1135,-0.595699,0
0.973466,-16.967,-0.721197,0
0.810837,-16.7942,-0.84439,0
0.664754,-16.5941,-0.964642,0
0.53971,-16.3659,-1.08228,0
0.433896,-16.1079,-1.19749,0
0.345316,-15.8184,-1.31053,0
0.269353,-15.4954,-1.42239,0
0.201416,-15.1361,-1.53339,0
0.138756,-14.7376,-1.64422,0
0.0785556,-14.2963,-1.75519,0
0.0182605,-13.8084,-1.86663,0
-0.0436832,-13.2692,-1.97821,0
-0.108049,-12.6739,-2.08937,0
-0.17521,-12.0167,-2.19857,0
-0.243353,-11.2914,-2.30322,0
-0.305535,-10.491,-2.39854,0
-0.353393,-9.60806,-2.48004,0
-0.387872,-8.63486,-2.54503,0
-0.413866,-7.56293,-2.59043,0
-0.431807,-6.38295,-2.61298,0
-0.441096,-5.08474,-2.60901,0
-0.442982,-3.65712,-2.57462,0
-0.43932,-2.08779,-2.50566,0
-0.431338,-0.363235,-2.39771,0
-0.419963,1.53142,-2.24595,0
-0.406291,3.61256,-2.0451,0
-0.391526,5.89814,-1.78898,0
-0.376954,8.40781,-1.46986,0
-0.362582,11.1628,-1.07688,0
-0.354205,14.1859,-0.596043,0
