X,NACA 0012-Re=   6e+04-Alpha= 8.00-NCrit=  9.0-XTrTop=0.010-XtrBot=1.000, , 
            1,    0.07554906, , 
    0.9928006,    0.07054816, , 
    0.9798895,    0.06096202, , 
    0.9635184,    0.04815624, , 
    0.9445469,    0.03251061, , 
    0.9234998,    0.01425552, , 
    0.9007495,  -0.006398845, , 
     0.876583,   -0.02923138, , 
    0.8512328,   -0.05400719, , 
    0.8248944,   -0.08049055, , 
    0.7977362,    -0.1084624, , 
    0.7699063,    -0.1377369, , 
    0.7415373,    -0.1681735, , 
    0.7127487,    -0.1996833, , 
      0.68365,    -0.2322302, , 
    0.6543419,    -0.2658293, , 
    0.6249182,    -0.3005455, , 
    0.5954661,     -0.336497, , 
    0.5660677,    -0.3737526, , 
    0.5368005,    -0.4123733, , 
    0.5077378,     -0.451656, , 
    0.4789491,    -0.4915955, , 
    0.4505011,    -0.5332054, , 
    0.4224571,    -0.5765457, , 
    0.3948782,    -0.6217172, , 
    0.3678229,    -0.6688502, , 
    0.3413476,    -0.7181039, , 
    0.3155065,    -0.7696732, , 
    0.2903524,    -0.8237994, , 
    0.2659361,    -0.8807863, , 
    0.2423068,    -0.9410246, , 
    0.2195125,     -1.005032, , 
    0.1975998,     -1.073244, , 
    0.1766138,     -1.145531, , 
    0.1565988,     -1.223676, , 
    0.1375977,     -1.308833, , 
    0.1196525,     -1.402605, , 
    0.1028043,     -1.507254, , 
   0.08709309,     -1.626049, , 
   0.07255816,     -1.763766, , 
   0.05923792,     -1.926996, , 
   0.04717001,     -2.122914, , 
   0.03639132,     -2.354248, , 
   0.02693808,     -2.612176, , 
   0.01884581,     -2.873538, , 
   0.01214942,     -3.130419, , 
  0.006883198,     -3.360412, , 
  0.003080868,     -3.393596, , 
 0.0007755917,     -2.897598, , 
            0,     -1.755311, , 
 0.0007755917,    -0.4490248, , 
  0.003080868,     0.4614313, , 
  0.006883198,     0.8839952, , 
   0.01214942,     0.9975039, , 
   0.01884581,     0.9730121, , 
   0.02693808,     0.8930849, , 
   0.03639132,     0.8008369, , 
   0.04717001,     0.7059251, , 
   0.05923792,     0.6204008, , 
   0.07255816,      0.541557, , 
   0.08709309,     0.4721555, , 
    0.1028043,     0.4106196, , 
    0.1196525,     0.3564728, , 
    0.1375977,     0.3089141, , 
    0.1565988,     0.2672233, , 
    0.1766138,     0.2307527, , 
    0.1975998,      0.198927, , 
    0.2195125,     0.1712366, , 
    0.2423068,     0.1472284, , 
    0.2659361,     0.1264975, , 
    0.2903524,     0.1086796, , 
    0.3155065,    0.09344571, , 
    0.3413476,    0.08049728, , 
    0.3678229,    0.06956335, , 
    0.3948782,    0.06039814, , 
    0.4224571,    0.05277951, , 
    0.4505011,    0.04650794, , 
    0.4789491,    0.04140589, , 
    0.5077378,    0.03731731, , 
    0.5368005,    0.03410747, , 
    0.5660677,    0.03166273, , 
    0.5954661,    0.02989049, , 
    0.6249182,    0.02871894, , 
    0.6543419,     0.0280968, , 
      0.68365,     0.0279929, , 
    0.7127487,    0.02839541, , 
    0.7415373,    0.02931057, , 
    0.7699063,    0.03076047, , 
    0.7977362,    0.03277938, , 
    0.8248944,     0.0354079, , 
    0.8512328,    0.03868365, , 
     0.876583,    0.04262763, , 
    0.9007495,    0.04722489, , 
    0.9234998,     0.0524003, , 
    0.9445469,    0.05798868, , 
    0.9635184,     0.0637181, , 
    0.9798895,    0.06913507, , 
    0.9928006,    0.07377083, , 
            1,    0.07554906, , 

